Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,24,82,82,3311,16.2,30.3,.535,0.1,0.8,.132,16.1,29.5,.546,.537,11.0,13.1,.841,2.1,4.7,6.8,7.4,3.9,2.0,3.8,4.1,43.6,123,101,MVP-1DPOY-1ASNBA1DEF1,jordami01
2,Charles Oakley,24,82,82,2816,6.7,13.9,.483,0.1,0.2,.250,6.6,13.6,.487,.485,4.7,6.4,.727,5.8,13.2,19.0,4.4,1.2,0.5,4.3,4.9,18.1,106,103,,oaklech01
3,Dave Corzine,31,80,32,2328,7.4,15.4,.481,0.0,0.2,.111,7.4,15.2,.486,.482,2.5,3.3,.752,3.7,7.7,11.4,3.3,0.8,2.1,2.4,3.2,17.4,108,106,,corzida01
4,Brad Sellers,25,82,76,2212,7.4,16.2,.457,0.0,0.2,.143,7.4,16.1,.460,.457,2.8,3.6,.790,2.4,3.3,5.7,3.2,0.8,1.5,2.1,4.0,17.7,105,109,,sellebr01
5,John Paxson,27,81,30,1888,7.6,15.5,.493,0.9,2.5,.347,6.8,13.0,.522,.521,0.9,1.2,.733,0.4,2.3,2.8,8.1,1.3,0.0,1.7,4.1,17.0,115,110,,paxsojo01
6,Horace Grant,22,81,6,1827,7.0,14.0,.501,0.0,0.1,.000,7.0,13.9,.503,.501,3.1,5.0,.626,4.3,8.0,12.3,2.4,1.4,1.5,2.4,6.1,17.1,109,105,,grantho01
7,Scottie Pippen,22,79,0,1650,8.0,17.2,.463,0.1,0.7,.174,7.8,16.5,.475,.466,3.0,5.2,.576,3.5,5.6,9.1,5.2,2.8,1.6,4.0,6.5,19.0,98,103,,pippesc01
8,Rory Sparrow,29,55,25,992,5.7,13.9,.409,0.1,0.6,.167,5.6,13.3,.420,.412,1.2,1.7,.727,0.7,2.8,3.5,8.2,1.9,0.2,2.6,3.6,12.7,97,109,,sparrro01
9,Sam Vincent,24,29,27,953,7.3,16.3,.447,0.2,0.4,.375,7.1,15.9,.449,.451,5.2,5.6,.925,0.9,4.5,5.4,12.9,1.8,0.6,4.4,4.3,19.9,109,107,,vincesa01
10,Sedale Threatt,26,45,0,701,9.5,18.9,.502,0.1,1.4,.100,9.3,17.4,.535,.506,2.3,2.9,.780,0.9,3.1,3.9,7.7,1.9,0.2,3.2,5.1,21.4,107,108,,threase01
11,Mike Brown,24,46,27,591,6.6,14.8,.448,0.0,0.1,.000,6.6,14.7,.451,.448,3.5,6.0,.577,5.6,7.9,13.5,2.4,0.9,0.3,3.2,7.2,16.8,100,107,,brownmi01
12,Artis Gilmore,38,24,23,372,5.5,10.8,.513,0.0,0.0,,5.5,10.8,.513,.513,2.6,5.0,.514,2.0,6.5,8.5,1.2,0.7,1.6,3.8,7.3,13.7,89,107,,gilmoar01
13,Granville Waiters,27,22,0,114,4.0,12.8,.310,0.0,0.4,.000,4.0,12.3,.321,.310,0.0,0.9,.000,4.0,8.4,12.3,0.4,0.9,6.6,2.6,11.5,7.9,69,100,,waitegr01
14,Elston Turner,28,17,0,98,4.1,15.4,.267,0.0,0.0,,4.1,15.4,.267,.267,0.5,1.0,.500,4.1,1.0,5.1,4.6,4.1,0.0,5.1,2.6,8.7,65,105,,turneel01
15,Tony White,22,2,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,115,,whiteto01
