Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Scottie Pippen,27,81,81,3123,10.4,22.1,.473,0.4,1.5,.237,10.1,20.5,.491,.482,3.9,5.8,.663,3.4,6.9,10.3,8.4,2.9,1.2,4.1,3.6,25.1,108,104,ASNBA3DEF1,pippesc01
2,Michael Jordan,29,78,78,3067,16.8,33.9,.495,1.4,3.9,.352,15.4,30.0,.514,.515,8.1,9.6,.837,2.3,6.5,8.8,7.2,3.7,1.0,3.5,3.2,43.0,119,102,MVP-3DPOY-2ASNBA1DEF1,jordami01
3,Horace Grant,27,77,77,2745,8.0,15.7,.508,0.0,0.1,.200,7.9,15.6,.510,.508,3.3,5.3,.619,6.4,7.3,13.8,3.8,1.7,1.8,2.1,4.1,19.2,118,105,DEF2,grantho01
4,B.J. Armstrong,25,82,74,2492,8.5,17.0,.499,1.3,2.9,.453,7.2,14.1,.508,.537,2.7,3.1,.861,0.6,2.5,3.1,6.9,1.4,0.1,1.7,3.5,21.0,123,111,,armstbj01
5,Scott Williams,24,71,5,1369,6.3,13.5,.466,0.0,0.3,.000,6.3,13.2,.476,.466,3.4,4.8,.714,6.4,10.7,17.1,2.6,2.1,2.5,2.8,8.7,16.0,110,101,,willisc01
6,Bill Cartwright,35,63,63,1253,5.8,14.2,.411,0.0,0.0,,5.8,14.2,.411,.411,3.0,4.1,.735,3.4,6.2,9.7,3.4,0.8,0.4,2.6,6.4,14.7,100,109,,cartwbi01
7,Stacey King,26,76,3,1059,7.8,16.7,.471,0.1,0.3,.333,7.7,16.4,.473,.474,4.2,6.0,.705,5.1,5.0,10.1,3.5,1.3,1.0,3.4,6.3,20.0,107,108,,kingst01
8,John Paxson,32,59,8,1030,5.3,11.7,.451,1.0,2.1,.463,4.3,9.7,.448,.491,0.9,1.0,.850,0.5,2.0,2.4,6.9,1.9,0.1,1.6,5.0,12.4,114,110,,paxsojo01
9,Rodney McCray,31,64,5,1019,4.7,10.4,.451,0.1,0.3,.400,4.6,10.1,.452,.456,1.8,2.6,.692,2.7,5.3,8.0,4.1,0.6,0.8,2.7,5.0,11.3,101,110,,mccraro01
10,Will Perdue,27,72,16,998,7.1,12.8,.557,0.0,0.1,.000,7.1,12.7,.559,.557,3.5,5.8,.604,5.4,9.6,14.9,3.8,1.1,2.4,3.8,7.2,17.7,109,104,,perduwi01
11,Trent Tucker,33,69,0,909,8.2,16.8,.485,3.0,7.5,.397,5.2,9.4,.555,.573,1.0,1.3,.818,0.9,3.1,4.1,4.7,1.4,0.3,1.0,3.7,20.3,127,110,,tucketr01
12,Darrell Walker,31,28,0,367,4.4,10.9,.403,0.0,0.0,,4.4,10.9,.403,.403,1.4,2.8,.500,2.5,3.0,5.5,6.2,3.3,0.3,1.7,7.2,10.2,103,106,,walkeda01
13,Corey Williams,22,35,0,242,6.6,18.2,.365,0.2,0.6,.333,6.4,17.6,.366,.371,3.9,4.7,.818,4.1,2.6,6.6,4.9,0.9,0.4,2.4,5.1,17.4,102,112,,willico01
14,Ed Nealy,32,11,0,79,6.6,15.1,.435,0.7,3.3,.200,5.9,11.8,.500,.457,1.3,1.3,1.000,2.6,7.9,10.5,1.3,2.0,0.7,1.3,3.9,15.1,106,105,,nealyed01
15,Joe Courtney,23,5,0,34,6.1,13.7,.444,0.0,0.0,,6.1,13.7,.444,.444,4.6,6.1,.750,3.1,0.0,3.1,1.5,3.1,1.5,4.6,13.7,16.8,93,107,,courtjo01
16,Jo Jo English,22,6,0,31,5.0,16.7,.300,0.0,5.0,.000,5.0,11.7,.429,.300,0.0,3.3,.000,3.3,6.7,10.0,1.7,5.0,3.3,6.7,8.4,10.0,53,97,,englijo01
17,Ricky Blanton,26,2,0,13,12.0,27.9,.429,0.0,0.0,,12.0,27.9,.429,.429,0.0,0.0,,8.0,4.0,12.0,4.0,8.0,0.0,4.0,4.0,24.0,96,96,,blantri01
