Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,24,10,10,427,16.7,31.5,.531,0.1,0.4,.333,16.6,31.1,.533,.533,10.4,12.0,.869,2.8,5.8,8.6,5.7,2.9,1.3,4.7,4.6,43.9,117,104,,jordami01
2,Charles Oakley,24,10,10,373,5.5,12.6,.440,0.0,0.3,.000,5.5,12.3,.449,.440,2.9,3.3,.875,5.4,12.3,17.7,4.4,0.8,0.6,2.5,4.6,14.0,108,104,,oaklech01
3,Dave Corzine,31,10,10,308,4.5,12.8,.355,0.0,0.0,,4.5,12.8,.355,.355,1.2,2.2,.538,2.5,7.0,9.6,1.3,0.5,1.3,2.0,3.5,10.2,81,108,,corzida01
4,Horace Grant,22,10,0,299,8.0,14.0,.568,0.0,0.2,.000,8.0,13.8,.575,.568,1.6,2.6,.600,4.3,7.8,12.1,2.8,2.4,0.3,1.2,6.1,17.5,122,104,,grantho01
5,Scottie Pippen,22,10,6,294,8.1,17.4,.465,0.5,1.1,.500,7.6,16.4,.462,.480,0.9,1.2,.714,4.2,4.9,9.1,4.2,1.4,1.4,4.6,5.8,17.6,92,107,,pippesc01
6,Sam Vincent,24,10,10,251,8.4,22.7,.373,0.0,0.6,.000,8.4,22.0,.383,.373,4.1,5.1,.800,1.2,2.7,3.9,9.1,1.6,0.2,5.6,4.7,21.0,86,109,,vincesa01
7,John Paxson,27,10,0,165,6.3,16.6,.377,0.6,3.8,.167,5.6,12.8,.439,.396,1.3,1.3,1.000,0.0,1.3,1.3,9.4,0.3,0.3,1.6,7.5,14.4,100,113,,paxsojo01
8,Brad Sellers,25,10,4,144,5.4,15.4,.349,0.0,0.0,,5.4,15.4,.349,.349,5.4,6.1,.882,3.6,3.9,7.5,2.9,0.7,1.8,1.8,6.5,16.2,102,109,,sellebr01
9,Rory Sparrow,29,7,0,106,4.9,15.6,.313,1.0,2.0,.500,3.9,13.7,.286,.344,2.0,2.9,.667,0.0,1.5,1.5,8.8,2.0,0.0,2.0,5.4,12.7,91,110,,sparrro01
10,Elston Turner,28,4,0,29,1.8,10.7,.167,0.0,0.0,,1.8,10.7,.167,.167,0.0,0.0,,1.8,7.1,8.9,10.7,0.0,0.0,1.8,3.6,3.6,73,110,,turneel01
11,Mike Brown,24,1,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,,12.9,25.8,.500,0.0,0.0,0.0,12.9,12.9,0.0,0.0,0.0,12.9,140,89,,brownmi01
