Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,31,10,10,420,15.7,32.4,.484,1.4,3.9,.367,14.2,28.5,.500,.506,8.4,10.3,.810,2.6,5.9,8.5,5.9,3.0,1.8,5.4,3.9,41.1,110,107,,jordami01
2,Scottie Pippen,29,10,10,396,8.0,18.1,.443,1.9,5.3,.368,6.1,12.9,.473,.496,6.6,9.8,.676,3.3,8.6,11.9,8.0,1.9,1.4,3.7,5.5,24.7,114,107,,pippesc01
3,Toni Kukoč,26,10,10,372,7.8,16.4,.477,2.1,4.7,.438,5.8,11.6,.494,.541,2.7,3.8,.692,2.9,7.1,10.0,8.4,1.5,0.3,2.8,3.4,20.3,119,110,,kukocto01
4,B.J. Armstrong,27,10,10,288,6.9,15.0,.456,2.5,5.5,.448,4.4,9.5,.460,.538,3.4,4.2,.818,0.8,2.7,3.4,5.1,1.1,0.0,1.1,4.0,19.6,126,115,,armstbj01
5,Luc Longley,26,10,8,204,6.5,13.4,.480,0.0,0.0,,6.5,13.4,.480,.480,2.2,2.7,.800,1.6,7.0,8.6,3.0,1.9,1.3,2.7,11.0,15.1,100,108,,longllu01
6,Steve Kerr,29,10,0,193,5.4,11.4,.475,2.3,5.4,.421,3.1,6.0,.524,.575,1.4,1.4,1.000,0.3,1.4,1.7,4.3,0.3,0.0,0.0,4.0,14.5,141,118,,kerrst01
7,Will Perdue,29,10,2,176,5.9,11.5,.514,0.0,0.0,,5.9,11.5,.514,.514,3.7,6.5,.571,5.6,9.3,15.0,1.9,0.3,0.9,3.1,8.4,15.6,106,110,,perduwi01
8,Bill Wennington,31,10,0,133,8.7,21.0,.412,0.0,0.0,,8.7,21.0,.412,.412,2.5,2.5,1.000,4.9,6.6,11.5,1.2,1.2,1.2,3.3,13.2,19.8,94,110,,wennibi01
9,Jud Buechler,26,10,0,104,4.7,11.1,.429,0.0,1.1,.000,4.7,10.0,.474,.429,1.1,2.1,.500,5.8,4.7,10.5,2.6,2.1,1.6,1.6,7.9,10.5,106,110,,buechju01
10,Pete Myers,31,9,0,79,3.5,9.7,.357,0.7,1.4,.500,2.8,8.3,.333,.393,1.4,4.2,.333,4.2,2.8,6.9,5.6,2.8,0.7,2.8,6.9,9.0,93,111,,myerspe01
11,Ron Harper,31,6,0,40,8.2,19.2,.429,0.0,2.7,.000,8.2,16.5,.500,.429,0.0,0.0,,2.7,5.5,8.2,5.5,4.1,1.4,1.4,8.2,16.5,102,105,,harpero01
12,Corie Blount,26,8,0,20,0.0,8.2,.000,0.0,2.7,.000,0.0,5.5,.000,.000,0.0,0.0,,2.7,11.0,13.7,0.0,0.0,0.0,2.7,13.7,0.0,18,110,,blounco01
