Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,32,82,82,3090,15.6,31.5,.495,1.9,4.4,.427,13.7,27.1,.506,.525,9.3,11.2,.834,2.5,6.7,9.3,6.0,3.1,0.7,3.4,3.3,42.5,124,100,MVP-1DPOY-6ASNBA1DEF1,jordami01
2,Scottie Pippen,30,77,77,2825,10.5,22.7,.463,2.8,7.5,.374,7.7,15.2,.507,.525,4.1,6.0,.679,2.8,6.4,9.3,8.4,2.5,1.1,3.9,3.7,27.9,116,101,MVP-5DPOY-2ASNBA1DEF1,pippesc01
3,Toni Kukoč,27,81,20,2103,9.7,19.7,.490,2.2,5.4,.403,7.5,14.3,.524,.546,5.2,6.7,.772,2.9,5.2,8.1,7.2,1.6,0.7,2.9,3.8,26.7,125,104,6MOY-1,kukocto01
4,Dennis Rodman,34,64,57,2088,3.7,7.7,.480,0.1,0.7,.111,3.6,7.0,.516,.485,1.4,2.7,.528,9.0,15.0,24.0,4.0,0.9,0.7,3.5,4.9,8.9,109,98,MVP-15DPOY-7DEF1,rodmade01
5,Steve Kerr,30,82,0,1919,6.7,13.2,.506,3.3,6.5,.515,3.3,6.7,.498,.633,2.1,2.3,.929,0.7,2.3,3.0,5.3,1.7,0.1,1.2,3.0,18.9,141,106,6MOY-9,kerrst01
6,Ron Harper,32,80,80,1886,6.5,14.0,.467,0.8,2.9,.269,5.8,11.1,.519,.495,2.7,3.9,.705,2.1,3.9,6.0,5.8,2.9,0.9,2.0,3.8,16.6,117,102,,harpero01
7,Luc Longley,27,62,62,1641,7.8,16.1,.482,0.0,0.0,,7.8,16.1,.482,.482,2.6,3.3,.777,3.3,6.9,10.2,3.8,0.7,2.7,3.7,7.2,18.1,103,102,,longllu01
8,Bill Wennington,32,71,20,1065,8.4,17.0,.493,0.0,0.0,1.000,8.3,16.9,.491,.494,1.8,2.1,.860,2.9,5.7,8.6,2.3,1.0,0.8,1.8,8.5,18.6,111,104,,wennibi01
9,Jud Buechler,27,74,0,740,8.0,17.2,.463,2.8,6.4,.444,5.1,10.8,.474,.545,1.0,1.6,.636,3.2,4.7,7.9,4.0,2.4,0.5,2.8,5.0,19.8,113,102,,buechju01
10,Dickey Simpkins,23,60,12,685,5.9,12.3,.481,0.1,0.1,1.000,5.8,12.2,.478,.484,4.7,7.5,.629,5.1,6.9,12.0,2.9,0.7,0.6,4.3,6.0,16.6,102,104,,simpkdi01
11,Randy Brown,27,68,0,671,6.1,15.1,.406,0.1,0.9,.091,6.0,14.2,.425,.409,2.2,3.6,.609,1.3,3.8,5.2,5.7,4.5,0.9,2.4,6.9,14.5,99,98,,brownra02
12,Jason Caffey,22,57,0,545,6.9,15.7,.438,0.0,0.1,.000,6.9,15.6,.441,.438,3.9,6.6,.588,4.9,5.8,10.7,2.3,1.2,0.7,4.6,8.8,17.6,93,104,,caffeja01
13,James Edwards,40,28,0,274,7.9,21.2,.373,0.0,0.0,,7.9,21.2,.373,.373,3.1,5.0,.615,2.9,4.8,7.7,2.1,0.2,1.5,4.0,11.7,18.8,84,106,,edwarja01
14,John Salley,31,17,0,191,3.3,9.7,.343,0.0,0.0,,3.3,9.7,.343,.343,3.3,5.5,.600,5.5,6.3,11.9,4.1,2.2,4.1,4.4,10.5,9.9,89,98,,sallejo01
15,Jack Haley,32,1,0,7,15.1,45.2,.333,0.0,0.0,,15.1,45.2,.333,.333,7.5,15.1,.500,7.5,7.5,15.1,0.0,0.0,0.0,7.5,15.1,37.6,77,105,,haleyja01
