Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,25,17,17,718,14.6,28.6,.510,0.7,2.6,.286,13.9,26.0,.532,.523,13.4,16.8,.799,1.9,6.8,8.7,9.5,3.1,1.0,5.0,4.8,43.4,120,104,,jordami01
2,Horace Grant,23,17,17,625,6.1,11.7,.518,0.0,0.0,,6.1,11.7,.518,.518,3.4,4.2,.800,4.5,9.6,14.1,3.0,0.9,1.3,2.6,5.7,15.5,114,106,,grantho01
3,Scottie Pippen,23,17,17,619,7.1,15.5,.462,1.9,4.8,.393,5.3,10.7,.492,.522,2.7,4.3,.640,2.9,8.1,11.0,5.7,2.0,1.4,3.5,5.4,18.9,107,105,,pippesc01
4,Bill Cartwright,31,17,17,583,6.5,13.4,.486,0.0,0.0,,6.5,13.4,.486,.486,5.1,7.2,.700,3.0,8.0,10.9,1.8,0.8,1.1,3.7,6.3,18.1,101,108,,cartwbi01
5,Craig Hodges,28,17,17,554,6.9,16.8,.412,3.3,8.4,.398,3.6,8.5,.427,.511,1.0,1.3,.714,0.8,1.6,2.4,5.9,2.1,0.3,2.3,5.2,18.2,107,111,,hodgecr01
6,John Paxson,28,16,0,302,6.5,13.6,.474,0.9,3.3,.263,5.6,10.3,.542,.506,2.4,2.8,.875,0.3,1.4,1.7,5.9,2.1,0.0,2.6,6.1,16.2,108,111,,paxsojo01
7,Dave Corzine,32,16,0,219,6.5,15.4,.422,0.0,0.0,,6.5,15.4,.422,.422,2.6,4.1,.647,3.4,6.5,9.9,2.2,1.0,1.4,2.6,6.5,15.6,94,108,,corzida01
8,Charles Davis,30,17,0,191,5.2,13.0,.404,0.3,1.7,.167,5.0,11.3,.439,.415,1.9,2.5,.778,4.4,7.4,11.9,1.4,1.1,0.3,3.6,8.0,12.7,88,108,,davisch02
9,Brad Sellers,26,13,0,177,6.5,17.3,.379,0.0,0.0,,6.5,17.3,.379,.379,3.0,3.6,.833,4.5,4.8,9.2,4.5,0.9,1.2,1.8,6.3,16.1,102,110,,sellebr01
10,Sam Vincent,25,16,0,113,4.7,15.4,.303,0.0,0.9,.000,4.7,14.5,.323,.303,4.2,5.6,.750,1.9,1.9,3.7,8.9,1.4,0.5,2.8,4.2,13.5,93,112,,vincesa01
11,Will Perdue,23,3,0,22,14.4,21.6,.667,0.0,2.4,.000,14.4,19.2,.750,.667,4.8,7.2,.667,7.2,7.2,14.4,4.8,0.0,0.0,0.0,9.6,33.5,150,111,,perduwi01
12,Jack Haley,25,5,0,7,15.1,22.6,.667,0.0,0.0,,15.1,22.6,.667,.667,7.5,15.1,.500,0.0,7.5,7.5,7.5,0.0,0.0,0.0,15.1,37.6,138,110,,haleyja01
