Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Charles Oakley,23,3,3,129,7.9,20.8,.380,0.8,1.7,.500,7.1,19.1,.370,.400,8.3,10.0,.833,7.1,12.0,19.1,2.5,1.7,0.4,3.3,5.4,24.9,107,115,,oaklech01
2,Michael Jordan,23,3,3,128,14.7,35.2,.417,0.8,2.1,.400,13.8,33.1,.418,.429,14.7,16.3,.897,2.9,5.9,8.8,7.5,2.5,2.9,3.3,4.6,44.8,115,114,,jordami01
3,Dave Corzine,30,3,3,122,4.4,9.7,.455,0.0,0.0,,4.4,9.7,.455,.455,3.1,4.0,.778,3.1,6.2,9.2,3.1,0.4,1.3,3.1,2.6,11.9,99,120,,corzida01
4,John Paxson,26,3,3,87,6.8,13.6,.500,1.8,4.3,.429,4.9,9.2,.533,.568,0.6,0.6,1.000,0.0,1.8,1.8,6.8,1.2,0.0,3.1,5.5,16.0,106,122,,paxsojo01
5,Gene Banks,27,3,3,79,8.8,14.9,.591,0.0,0.0,,8.8,14.9,.591,.591,3.4,5.4,.625,2.0,3.4,5.4,1.4,0.0,0.0,1.4,8.8,21.0,121,123,,banksge01
6,Sedale Threatt,25,3,0,70,6.1,13.0,.471,0.0,0.0,,6.1,13.0,.471,.471,3.1,3.1,1.000,1.5,2.3,3.8,12.3,0.8,0.0,1.5,8.4,15.3,125,123,,threase01
7,Brad Sellers,24,3,0,68,4.7,15.0,.316,0.0,0.0,,4.7,15.0,.316,.316,2.4,2.4,1.000,1.6,3.9,5.5,2.4,0.0,0.8,0.8,6.3,11.8,90,122,,sellebr01
8,Elston Turner,27,3,0,25,8.6,10.7,.800,0.0,0.0,,8.6,10.7,.800,.800,0.0,0.0,,2.1,2.1,4.3,2.1,4.3,0.0,0.0,6.4,17.2,166,115,,turneel01
9,Granville Waiters,26,2,0,8,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,6.7,6.7,0.0,0.0,6.7,0.0,6.7,0.0,,115,,waitegr01
10,Mike Brown,23,1,0,3,0.0,17.9,.000,0.0,0.0,,0.0,17.9,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,17.9,0.0,17.9,17.9,0.0,0,89,,brownmi01
11,Pete Myers,23,1,0,1,0.0,53.6,.000,0.0,0.0,,0.0,53.6,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,126,,myerspe01
