Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Scottie Pippen,29,79,79,3014,11.0,22.8,.480,1.9,5.5,.345,9.1,17.4,.523,.522,5.5,7.6,.716,3.0,8.0,11.1,7.1,4.0,1.5,4.7,4.1,29.3,110,98,MVP-7DPOY-2ASNBA1DEF1,pippesc01
2,Toni Kukoč,26,81,55,2584,9.8,19.5,.504,1.3,4.0,.313,8.6,15.5,.553,.536,4.7,6.3,.748,3.1,5.8,8.9,7.5,2.1,0.3,3.3,3.3,25.7,118,105,,kukocto01
3,B.J. Armstrong,27,82,82,2577,8.5,18.1,.468,2.2,5.1,.427,6.3,13.0,.484,.528,4.2,4.7,.884,0.5,3.3,3.8,4.9,1.7,0.2,2.1,3.2,23.3,119,108,,armstbj01
4,Steve Kerr,29,82,0,1839,7.4,14.0,.527,2.5,4.8,.524,4.9,9.2,.529,.617,1.8,2.3,.778,0.6,2.8,3.4,4.3,1.2,0.1,1.4,3.2,19.1,129,109,,kerrst01
5,Will Perdue,29,78,78,1592,8.3,15.0,.553,0.0,0.0,.000,8.3,15.0,.555,.553,3.7,6.4,.582,6.9,10.2,17.1,2.9,0.9,1.8,3.8,7.2,20.3,111,103,,perduwi01
6,Ron Harper,31,77,53,1536,7.1,16.7,.426,1.1,3.7,.282,6.0,12.9,.467,.457,2.8,4.4,.618,1.7,4.4,6.1,5.3,3.3,0.9,3.4,4.5,18.0,98,103,,harpero01
7,Pete Myers,31,71,14,1270,4.9,11.8,.415,0.4,1.6,.256,4.5,10.2,.440,.432,2.9,4.7,.614,2.3,3.4,5.7,6.1,2.4,0.6,3.6,5.1,13.1,97,106,,myerspe01
8,Luc Longley,26,55,0,1001,7.0,15.7,.447,0.0,0.1,.000,7.0,15.6,.450,.447,4.6,5.6,.822,4.3,9.4,13.7,3.8,1.3,2.3,4.5,9.2,18.7,100,102,,longllu01
9,Bill Wennington,31,73,1,956,8.5,17.3,.492,0.0,0.2,.000,8.5,17.1,.498,.492,2.8,3.4,.810,3.5,6.9,10.4,2.2,1.2,0.9,2.1,10.8,19.8,110,105,,wennibi01
10,Corie Blount,26,68,9,889,5.9,12.3,.476,0.0,0.1,.000,5.9,12.2,.481,.476,2.2,3.9,.567,6.3,7.8,14.1,3.5,1.5,1.9,3.5,8.6,14.0,103,103,,blounco01
11,Michael Jordan,31,17,17,668,13.0,31.5,.411,1.2,2.5,.500,11.7,29.0,.403,.431,8.5,10.6,.801,2.0,7.2,9.1,7.0,2.3,1.0,2.7,3.7,35.7,109,103,MVP-11,jordami01
12,Jud Buechler,26,57,0,605,7.8,15.8,.492,1.3,4.1,.313,6.5,11.6,.556,.533,1.9,3.4,.564,3.1,5.3,8.4,4.3,2.1,1.0,2.6,5.5,18.7,110,105,,buechju01
13,Dickey Simpkins,22,59,5,586,6.9,16.4,.424,0.0,0.0,,6.9,16.4,.424,.424,4.5,6.4,.694,5.3,8.1,13.4,3.3,0.9,0.6,4.0,6.4,18.3,98,105,,simpkdi01
14,Greg Foster,26,17,3,299,7.2,15.0,.477,0.0,0.0,,7.2,15.0,.477,.477,3.8,5.4,.710,3.1,6.3,9.4,2.8,0.3,1.4,3.0,9.4,18.1,104,107,,fostegr01
15,Larry Krystkowiak,30,19,14,287,5.1,13.1,.389,0.0,0.0,,5.1,13.1,.389,.389,4.9,5.5,.900,3.5,7.3,10.7,4.7,1.6,0.4,4.5,6.2,15.1,96,105,,krystla01
16,Jo Jo English,24,8,0,127,6.2,16.0,.385,1.2,4.9,.250,4.9,11.1,.444,.423,4.1,5.3,.769,0.4,0.8,1.2,2.9,2.9,0.4,2.5,7.8,17.7,98,107,,englijo01
