Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,33,19,19,804,15.8,34.8,.456,0.9,4.7,.194,14.9,30.1,.497,.469,8.6,10.3,.831,2.9,7.5,10.5,6.4,2.1,1.2,3.4,3.2,41.2,114,101,Finals MVP-1,jordami01
2,Scottie Pippen,31,19,19,753,9.6,23.0,.417,2.9,8.4,.345,6.7,14.6,.459,.481,5.1,6.4,.791,2.7,6.9,9.6,5.4,2.1,1.3,4.1,3.7,27.2,107,101,,pippesc01
3,Dennis Rodman,35,19,14,535,3.1,8.5,.370,0.4,1.7,.250,2.7,6.8,.400,.395,1.6,2.7,.577,6.2,10.6,16.8,2.8,1.0,0.4,2.9,7.8,8.3,96,101,,rodmade01
4,Ron Harper,33,19,19,515,5.4,13.6,.400,2.3,6.6,.344,3.2,7.0,.453,.484,2.3,3.1,.750,2.2,6.6,8.8,6.2,2.6,1.5,1.2,4.7,15.5,122,100,,harpero01
5,Luc Longley,28,19,19,432,7.4,13.5,.548,0.0,0.0,,7.4,13.5,.548,.548,1.3,3.4,.385,5.1,5.8,10.9,4.5,0.9,2.1,3.6,8.4,16.1,104,103,,longllu01
6,Toni Kukoč,28,19,0,423,6.0,16.6,.360,2.5,7.0,.358,3.4,9.6,.361,.436,5.4,7.7,.707,1.7,5.4,7.2,7.2,1.7,0.5,2.3,4.0,19.9,113,104,,kukocto01
7,Steve Kerr,31,19,0,341,5.4,12.7,.429,2.6,6.9,.381,2.8,5.8,.486,.532,2.1,2.3,.929,0.7,2.3,3.0,3.3,2.8,0.3,1.3,4.1,15.6,121,104,,kerrst01
8,Bison Dele,27,19,0,336,8.4,17.4,.481,0.0,0.0,,8.4,17.4,.481,.481,2.7,5.2,.516,5.2,6.7,11.9,1.8,3.2,1.3,2.3,10.5,19.4,105,99,,delebi01
9,Jason Caffey,23,17,5,167,5.0,11.1,.455,0.0,0.0,,5.0,11.1,.455,.455,3.7,4.7,.786,8.4,5.7,14.1,5.0,1.0,1.0,4.0,9.1,13.8,109,104,,caffeja01
10,Jud Buechler,28,18,0,138,5.3,12.6,.419,1.6,4.9,.333,3.7,7.7,.474,.484,1.2,2.0,.600,3.7,5.7,9.4,2.0,1.2,0.4,0.4,6.1,13.4,120,105,,buechju01
11,Randy Brown,28,17,0,98,5.2,17.2,.300,0.0,0.0,,5.2,17.2,.300,.300,1.7,2.9,.600,1.7,4.0,5.7,3.4,4.6,1.1,2.3,12.6,12.0,78,98,,brownra02
12,Robert Parish,43,2,0,18,3.1,21.8,.143,0.0,0.0,,3.1,21.8,.143,.143,0.0,0.0,,6.2,6.2,12.5,0.0,0.0,9.4,0.0,6.2,6.2,55,98,,parisro01
