Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,39,82,67,3031,12.2,27.4,.445,0.3,1.0,.291,11.9,26.4,.450,.450,4.8,5.8,.821,1.3,7.7,8.9,5.6,2.2,0.7,3.1,3.1,29.5,101,103,AS,jordami01
2,Jerry Stackhouse,28,70,70,2747,9.7,23.8,.409,1.4,4.9,.290,8.3,18.9,.439,.438,9.0,10.3,.878,1.2,3.9,5.1,6.3,1.3,0.6,3.8,2.6,29.9,106,108,,stackje01
3,Christian Laettner,33,76,66,2215,6.3,12.7,.494,0.0,0.4,.125,6.2,12.3,.506,.496,2.9,3.5,.833,2.8,9.5,12.3,5.8,2.0,1.0,2.1,5.1,15.5,113,102,,laettch01
4,Larry Hughes,24,67,56,2137,8.8,18.9,.467,0.7,2.0,.367,8.1,16.9,.479,.487,3.5,4.7,.731,1.7,6.1,7.8,5.2,2.2,0.6,3.5,3.8,21.8,101,104,,hughela01
5,Tyronn Lue,25,75,24,1986,6.8,15.7,.433,1.6,4.8,.341,5.2,10.9,.474,.485,2.5,2.9,.875,0.6,3.5,4.1,7.2,1.3,0.0,2.1,4.1,17.7,109,108,,luety01
6,Brendan Haywood,23,81,69,1930,4.9,9.6,.510,0.0,0.0,,4.9,9.6,.510,.510,4.4,6.9,.633,5.4,6.0,11.4,0.8,0.9,3.4,1.8,6.3,14.1,115,104,,haywobr01
7,Kwame Brown,20,80,20,1773,6.9,15.4,.446,0.0,0.1,.000,6.9,15.3,.449,.446,4.5,6.7,.668,3.9,9.2,13.1,1.8,1.5,2.5,3.4,4.9,18.2,96,102,,brownkw01
8,Bryon Russell,32,70,23,1388,4.2,12.0,.353,1.8,5.5,.329,2.4,6.5,.373,.428,2.1,2.7,.768,1.7,6.5,8.2,2.8,2.7,0.3,2.2,5.1,12.4,95,103,,russebr01
9,Juan Dixon,24,42,3,647,8.8,22.8,.384,2.1,7.1,.298,6.6,15.7,.422,.430,3.1,3.9,.804,1.1,5.0,6.1,3.4,2.2,0.3,3.5,4.5,22.7,90,105,,dixonju01
10,Charles Oakley,39,42,1,514,2.4,5.8,.418,0.0,0.0,,2.4,5.8,.418,.418,3.0,3.6,.824,3.9,7.4,11.3,4.2,1.4,0.6,2.2,9.5,7.8,110,105,,oaklech01
11,Etan Thomas,24,38,0,513,6.5,13.2,.492,0.0,0.0,,6.5,13.2,.492,.492,6.4,10.0,.638,7.4,10.1,17.5,0.3,0.8,2.4,3.5,7.0,19.3,107,102,,thomaet01
12,Bobby Simmons,22,36,2,378,6.3,16.1,.393,0.0,0.7,.000,6.3,15.4,.411,.393,4.6,5.0,.914,4.8,6.3,11.1,2.9,1.4,0.4,1.2,7.3,17.3,110,106,,simmobo01
13,Jared Jeffries,21,20,1,292,5.6,11.7,.476,0.6,1.1,.500,5.0,10.6,.474,.500,3.0,5.4,.552,4.8,6.0,10.8,3.0,1.5,0.9,3.9,5.2,14.7,97,105,,jeffrja01
14,Jahidi White,26,16,8,230,5.9,12.5,.472,0.0,0.0,,5.9,12.5,.472,.472,4.0,5.9,.680,8.8,8.5,17.3,0.5,0.2,2.8,2.1,7.8,15.9,113,104,,whiteja01
15,Anthony Goldwire,31,5,0,34,6.4,11.2,.571,1.6,1.6,1.000,4.8,9.6,.500,.643,6.4,8.0,.800,0.0,4.8,4.8,1.6,0.0,0.0,6.4,1.6,20.8,97,110,,goldwan01
16,Brian Cardinal,25,5,0,15,3.6,14.5,.250,0.0,3.6,.000,3.6,10.9,.333,.250,7.3,7.3,1.000,10.9,7.3,18.1,3.6,0.0,0.0,3.6,0.0,14.5,100,109,,cardibr01
