Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Michael Jordan,21,82,82,3144,12.9,25.0,.515,0.1,0.8,.173,12.7,24.2,.526,.518,9.7,11.5,.845,2.6,5.6,8.2,7.4,3.0,1.1,4.5,4.4,35.5,118,107,MVP-6ROY-1ASNBA2,jordami01
2,Orlando Woolridge,25,77,76,2816,11.6,21.0,.554,0.0,0.1,.000,11.6,20.9,.557,.554,7.0,8.9,.785,2.7,4.8,7.5,2.3,1.0,0.7,3.1,3.2,30.3,119,112,,woolror01
3,Quintin Dailey,24,79,0,2101,12.1,25.5,.473,0.2,0.7,.233,11.9,24.9,.479,.476,4.7,5.8,.817,1.3,3.5,4.8,4.4,1.6,0.1,3.5,4.4,29.0,104,112,6MOY-6,dailequ01
4,Dave Corzine,28,82,50,2062,6.5,13.3,.486,0.0,0.0,.000,6.5,13.3,.487,.486,3.5,4.7,.745,3.0,6.8,9.9,3.3,0.7,1.5,2.9,4.4,16.4,106,110,,corzida01
5,Steve Johnson,27,74,54,1659,8.2,15.0,.545,0.0,0.1,.000,8.2,14.9,.548,.545,5.3,7.3,.718,4.3,8.5,12.7,1.9,1.1,1.8,4.4,7.7,21.6,106,108,,johnsst03
6,Dave Greenwood,27,61,28,1523,4.8,10.5,.458,0.0,0.0,.000,4.8,10.5,.459,.458,2.1,3.0,.713,3.4,8.9,12.3,2.5,1.1,0.6,2.0,6.0,11.8,105,109,,greenda01
7,Wes Matthews,25,78,38,1523,6.1,12.2,.495,0.1,0.5,.125,6.0,11.7,.511,.497,1.9,2.7,.694,0.5,1.6,2.1,11.2,2.3,0.4,3.9,4.2,14.1,104,112,,matthwe01
8,Ennis Whatley,22,70,44,1385,4.9,10.9,.447,0.0,0.3,.111,4.8,10.6,.457,.449,2.4,3.0,.791,1.2,2.3,3.5,13.3,2.3,0.3,5.0,4.9,12.2,99,111,,whatlen01
9,Jawann Oldham,27,63,0,993,4.3,9.3,.464,0.0,0.0,.000,4.3,9.3,.466,.464,1.7,2.4,.680,3.8,7.6,11.5,1.5,0.5,6.2,2.8,8.1,10.3,96,106,,oldhaja01
10,Rod Higgins,25,68,5,942,6.1,13.8,.441,0.5,1.9,.270,5.6,11.9,.468,.459,3.1,4.6,.667,2.8,4.7,7.5,3.7,1.1,0.7,2.5,4.7,15.8,104,112,,higgiro01
11,Caldwell Jones,34,42,32,885,2.9,6.3,.461,0.0,0.1,.000,2.9,6.2,.469,.461,2.0,2.6,.766,2.7,8.8,11.5,1.9,0.7,1.7,2.2,6.8,7.8,101,109,,jonesca01
12,Sidney Green,24,48,1,740,7.0,16.3,.432,0.0,0.3,.000,7.0,16.1,.439,.432,5.2,6.4,.806,4.7,11.4,16.1,1.9,0.7,0.9,4.4,6.7,19.3,97,108,,greensi02
13,Charles Jones,27,3,0,29,3.3,6.7,.500,0.0,0.0,,3.3,6.7,.500,.500,6.7,10.0,.667,3.3,6.7,10.0,1.7,0.0,8.3,6.7,10.0,13.3,86,106,,jonesch01
14,Chris Engler,25,3,0,3,16.1,32.2,.500,0.0,0.0,,16.1,32.2,.500,.500,0.0,0.0,,16.1,16.1,32.2,0.0,0.0,0.0,16.1,16.1,32.2,76,106,,englech01
