Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,261,1,2021-05-23,LAL,@,PHO,L 90-99,*,36:04,6,13,.462,3,7,.429,3,6,.500,.577,3,6,.500,1,6,7,10,3,0,5,1,18,17.2,2
2,262,2,2021-05-25,LAL,@,PHO,W 109-102,*,38:54,9,16,.563,4,9,.444,5,7,.714,.688,1,1,1.000,0,4,4,9,2,0,1,3,23,22.7,14
3,263,3,2021-05-27,LAL,,PHO,W 109-95,*,37:45,9,19,.474,1,5,.200,8,14,.571,.500,2,3,.667,1,5,6,9,1,0,7,0,21,13.4,15
4,264,4,2021-05-30,LAL,,PHO,L 92-100,*,37:50,10,21,.476,1,7,.143,9,14,.643,.500,4,7,.571,2,10,12,6,1,0,6,1,25,16.3,6
5,265,5,2021-06-01,LAL,@,PHO,L 85-115,*,31:39,9,19,.474,6,10,.600,3,9,.333,.632,0,0,,1,4,5,7,0,0,3,1,24,17.7,-24
6,266,6,2021-06-03,LAL,,PHO,L 100-113,*,41:25,11,26,.423,3,10,.300,8,16,.500,.481,4,6,.667,2,7,9,7,2,2,3,1,29,22.8,-3
