Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,200,1,2017-04-15,CLE,,IND,W 109-108,*,42:44,12,20,.600,2,3,.667,10,17,.588,.650,6,9,.667,1,5,6,13,3,0,3,3,32,31.7,5
2,201,2,2017-04-17,CLE,,IND,W 117-111,*,42:16,11,20,.550,0,2,.000,11,18,.611,.550,3,6,.500,0,10,10,7,4,4,8,2,25,20.1,6
3,202,3,2017-04-20,CLE,@,IND,W 119-114,*,45:13,14,27,.519,6,12,.500,8,15,.533,.630,7,14,.500,1,12,13,12,1,2,3,4,41,35.4,13
4,203,4,2017-04-23,CLE,@,IND,W 106-102,*,44:44,13,25,.520,1,3,.333,12,22,.545,.540,6,9,.667,0,10,10,4,4,2,4,1,33,26.3,4
5,204,5,2017-05-01,CLE,,TOR,W 116-105,*,41:02,13,23,.565,2,5,.400,11,18,.611,.609,7,8,.875,2,8,10,4,1,1,3,2,35,28.2,16
6,205,6,2017-05-03,CLE,,TOR,W 125-103,*,36:36,10,14,.714,4,6,.667,6,8,.750,.857,15,21,.714,1,5,6,4,3,2,3,3,39,36.0,24
7,206,7,2017-05-05,CLE,@,TOR,W 115-94,*,40:38,9,16,.563,2,4,.500,7,12,.583,.625,15,16,.938,0,8,8,7,1,0,5,1,35,29.9,20
8,207,8,2017-05-07,CLE,@,TOR,W 109-102,*,46:11,11,22,.500,5,12,.417,6,10,.600,.614,8,9,.889,1,8,9,6,0,1,6,1,35,25.2,7
9,208,9,2017-05-17,CLE,@,BOS,W 117-104,*,41:58,14,24,.583,1,6,.167,13,18,.722,.604,9,11,.818,2,7,9,7,2,0,2,2,38,33.6,17
10,209,10,2017-05-19,CLE,@,BOS,W 130-86,*,32:48,12,18,.667,4,6,.667,8,12,.667,.778,2,4,.500,0,4,4,7,4,3,1,1,30,32.2,46
11,210,11,2017-05-21,CLE,,BOS,L 108-111,*,45:03,4,13,.308,0,4,.000,4,9,.444,.308,3,6,.500,1,5,6,6,1,1,6,2,11,3.6,1
12,211,12,2017-05-23,CLE,,BOS,W 112-99,*,38:16,15,27,.556,1,6,.167,14,21,.667,.574,3,4,.750,0,5,5,6,1,1,5,4,34,21.5,7
13,212,13,2017-05-25,CLE,@,BOS,W 135-102,*,34:44,13,18,.722,4,7,.571,9,11,.818,.833,5,8,.625,1,7,8,8,3,1,2,4,35,34.9,36
14,213,14,2017-06-01,CLE,@,GSW,L 91-113,*,40:02,9,20,.450,2,6,.333,7,14,.500,.500,8,12,.667,3,12,15,8,0,2,8,4,28,19.1,-22
15,214,15,2017-06-04,CLE,@,GSW,L 113-132,*,39:22,12,18,.667,1,3,.333,11,15,.733,.694,4,5,.800,0,11,11,14,3,1,4,2,29,32.8,-11
16,215,16,2017-06-07,CLE,,GSW,L 113-118,*,45:37,15,27,.556,4,9,.444,11,18,.611,.630,5,6,.833,3,8,11,9,1,1,5,2,39,32.4,7
17,216,17,2017-06-09,CLE,,GSW,W 137-116,*,40:46,11,22,.500,3,8,.375,8,14,.571,.568,6,10,.600,1,9,10,11,1,0,2,2,31,27.7,32
18,217,18,2017-06-12,CLE,@,GSW,L 120-129,*,46:13,19,30,.633,2,5,.400,17,25,.680,.667,1,4,.250,2,11,13,8,2,1,2,3,41,36.2,-13
