Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,288,1,2025-04-19,LAL,,MIN,L 95-117,*,36:15,8,18,.444,1,5,.200,7,13,.538,.472,2,2,1.000,1,4,5,3,2,3,4,0,19,13.7,-22
2,289,2,2025-04-22,LAL,,MIN,W 94-85,*,39:37,8,19,.421,1,5,.200,7,14,.500,.447,4,4,1.000,3,8,11,7,1,1,2,4,21,18.4,9
3,290,3,2025-04-25,LAL,@,MIN,L 104-116,*,41:10,13,21,.619,5,9,.556,8,12,.667,.738,7,10,.700,3,7,10,4,2,2,1,0,38,36.7,-10
4,291,4,2025-04-27,LAL,@,MIN,L 113-116,*,46:14,5,9,.556,2,4,.500,3,5,.600,.667,15,18,.833,3,9,12,8,3,3,3,2,27,33.2,-4
5,292,5,2025-04-30,LAL,,MIN,L 96-103,*,40:27,9,21,.429,1,5,.200,8,16,.500,.452,3,6,.500,2,5,7,6,2,0,3,2,22,15.0,-14
