Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,93,1,2012-04-28,MIA,,NYK,W 100-67,*,31:41,10,14,.714,1,1,1.000,9,13,.692,.750,11,14,.786,1,3,4,3,4,0,2,2,32,29.9,35
2,94,2,2012-04-30,MIA,,NYK,W 104-94,*,40:35,8,18,.444,0,3,.000,8,15,.533,.444,3,7,.429,1,6,7,9,2,0,2,1,19,16.4,10
3,95,3,2012-05-03,MIA,@,NYK,W 87-70,*,35:50,9,21,.429,2,5,.400,7,16,.438,.476,12,13,.923,2,6,8,5,2,0,8,5,32,19.2,23
4,96,4,2012-05-06,MIA,@,NYK,L 87-89,*,41:27,9,21,.429,2,5,.400,7,16,.438,.476,7,8,.875,0,4,4,4,1,0,5,4,27,13.9,-7
5,97,5,2012-05-09,MIA,,NYK,W 106-94,*,39:38,7,16,.438,2,6,.333,5,10,.500,.500,13,15,.867,1,7,8,7,2,1,4,2,29,25.4,6
6,98,6,2012-05-13,MIA,,IND,W 95-86,*,43:15,12,26,.462,0,3,.000,12,23,.522,.462,8,10,.800,6,9,15,5,2,1,1,1,32,29.5,12
7,99,7,2012-05-15,MIA,,IND,L 75-78,*,42:49,10,22,.455,0,4,.000,10,18,.556,.455,8,13,.615,4,5,9,5,6,0,2,0,28,26.4,-7
8,100,8,2012-05-17,MIA,@,IND,L 75-94,*,40:06,10,22,.455,1,4,.250,9,18,.500,.477,1,3,.333,1,6,7,3,2,0,4,1,22,12.0,-9
9,101,9,2012-05-20,MIA,@,IND,W 101-93,*,43:54,14,27,.519,0,0,,14,27,.519,.519,12,16,.750,6,12,18,9,2,2,5,1,40,37.2,4
10,102,10,2012-05-22,MIA,,IND,W 115-83,*,38:09,12,19,.632,2,4,.500,10,15,.667,.684,4,4,1.000,3,7,10,8,1,1,4,1,30,28.6,28
11,103,11,2012-05-24,MIA,@,IND,W 105-93,*,44:46,12,23,.522,0,3,.000,12,20,.600,.522,4,5,.800,1,5,6,7,3,0,1,1,28,25.0,16
12,104,12,2012-05-28,MIA,,BOS,W 93-79,*,43:53,13,22,.591,0,3,.000,13,19,.684,.591,6,9,.667,1,12,13,3,1,3,3,2,32,26.3,17
13,105,13,2012-05-30,MIA,,BOS,W 115-111 (OT),*,47:39,7,20,.350,2,6,.333,5,14,.357,.400,18,24,.750,4,6,10,7,1,1,1,2,34,29.8,10
14,106,14,2012-06-01,MIA,@,BOS,L 91-101,*,43:18,16,26,.615,1,4,.250,15,22,.682,.635,1,5,.200,0,8,8,5,2,2,3,4,34,25.3,-6
15,107,15,2012-06-03,MIA,@,BOS,L 91-93 (OT),*,48:06,12,25,.480,1,3,.333,11,22,.500,.500,4,8,.500,1,5,6,3,1,1,7,6,29,11.3,1
16,108,16,2012-06-05,MIA,,BOS,L 90-94,*,45:20,11,25,.440,2,6,.333,9,19,.474,.480,6,8,.750,3,10,13,2,2,1,3,1,30,21.9,0
17,109,17,2012-06-07,MIA,@,BOS,W 98-79,*,44:49,19,26,.731,2,4,.500,17,22,.773,.769,5,9,.556,2,13,15,5,0,0,4,3,45,36.4,22
18,110,18,2012-06-09,MIA,,BOS,W 101-88,*,47:32,9,21,.429,1,5,.200,8,16,.500,.452,12,17,.706,2,10,12,2,1,1,3,0,31,22.4,13
19,111,19,2012-06-12,MIA,@,OKC,L 94-105,*,45:50,11,24,.458,1,3,.333,10,21,.476,.479,7,9,.778,1,8,9,4,4,0,4,1,30,22.3,-11
20,112,20,2012-06-14,MIA,@,OKC,W 100-96,*,42:19,10,22,.455,0,2,.000,10,20,.500,.455,12,12,1.000,2,6,8,5,1,0,2,4,32,24.7,6
21,113,21,2012-06-17,MIA,,OKC,W 91-85,*,43:50,11,23,.478,1,4,.250,10,19,.526,.500,6,8,.750,5,9,14,3,0,0,4,1,29,20.4,8
22,114,22,2012-06-19,MIA,,OKC,W 104-98,*,44:21,10,20,.500,1,4,.250,9,16,.563,.525,5,8,.625,3,6,9,12,2,0,3,2,26,25.3,8
23,115,23,2012-06-21,MIA,,OKC,W 121-106,*,44:09,9,19,.474,0,3,.000,9,16,.563,.474,8,9,.889,4,7,11,13,1,2,6,2,26,25.5,20
