Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,72,1,2011-04-16,MIA,,PHI,W 97-89,*,42:43,4,14,.286,0,2,.000,4,12,.333,.286,13,14,.929,4,10,14,5,1,3,2,3,21,21.6,4
2,73,2,2011-04-18,MIA,,PHI,W 94-73,*,38:55,10,19,.526,1,1,1.000,9,18,.500,.553,8,10,.800,1,6,7,6,0,0,0,1,29,25.2,24
3,74,3,2011-04-21,MIA,@,PHI,W 100-94,*,44:16,8,15,.533,1,4,.250,7,11,.636,.567,7,10,.700,1,14,15,6,1,0,1,1,24,24.2,8
4,75,4,2011-04-24,MIA,@,PHI,L 82-86,*,43:33,11,20,.550,0,4,.000,11,16,.688,.550,9,11,.818,2,5,7,6,1,1,1,2,31,27.6,-4
5,76,5,2011-04-27,MIA,,PHI,W 97-91,*,41:40,5,13,.385,2,5,.400,3,8,.375,.462,4,5,.800,3,7,10,8,1,0,3,2,16,15.5,5
6,77,6,2011-05-01,MIA,,BOS,W 99-90,*,39:54,8,19,.421,1,3,.333,7,16,.438,.447,5,9,.556,1,5,6,5,2,2,3,2,22,15.6,1
7,78,7,2011-05-03,MIA,,BOS,W 102-91,*,44:03,14,25,.560,2,4,.500,12,21,.571,.600,5,8,.625,2,5,7,2,1,1,0,3,35,26.7,10
8,79,8,2011-05-07,MIA,@,BOS,L 81-97,*,42:48,6,16,.375,0,3,.000,6,13,.462,.375,3,7,.429,2,5,7,4,2,5,4,3,15,10.6,-21
9,80,9,2011-05-09,MIA,@,BOS,W 98-90 (OT),*,50:17,12,28,.429,2,6,.333,10,22,.455,.464,9,9,1.000,3,11,14,3,3,0,5,3,35,24.5,7
10,81,10,2011-05-11,MIA,,BOS,W 97-87,*,45:43,11,20,.550,5,7,.714,6,13,.462,.675,6,9,.667,2,5,7,4,1,1,5,1,33,24.2,14
11,82,11,2011-05-15,MIA,@,CHI,L 82-103,*,41:12,5,15,.333,1,3,.333,4,12,.333,.367,4,4,1.000,1,5,6,6,2,3,4,2,15,12.2,-14
12,83,12,2011-05-18,MIA,@,CHI,W 85-75,*,45:39,12,21,.571,2,6,.333,10,15,.667,.619,3,7,.429,3,7,10,5,3,0,5,3,29,22.0,8
13,84,13,2011-05-22,MIA,,CHI,W 96-85,*,43:55,6,13,.462,1,2,.500,5,11,.455,.500,9,9,1.000,1,5,6,10,2,2,0,4,22,26.3,16
14,85,14,2011-05-24,MIA,,CHI,W 101-93 (OT),*,49:23,11,26,.423,0,1,.000,11,25,.440,.423,13,13,1.000,2,4,6,6,2,2,5,4,35,24.8,-1
15,86,15,2011-05-26,MIA,@,CHI,W 83-80,*,45:46,8,19,.421,3,6,.500,5,13,.385,.500,9,11,.818,0,11,11,6,3,2,4,2,28,24.2,8
16,87,16,2011-05-31,MIA,,DAL,W 92-84,*,45:15,9,16,.563,4,5,.800,5,11,.455,.688,2,2,1.000,0,9,9,5,1,0,1,4,24,21.0,9
17,88,17,2011-06-02,MIA,,DAL,L 93-95,*,39:37,8,15,.533,2,7,.286,6,8,.750,.600,2,4,.500,1,7,8,4,4,1,5,4,20,15.6,-5
18,89,18,2011-06-05,MIA,@,DAL,W 88-86,*,45:15,6,14,.429,1,4,.250,5,10,.500,.464,4,4,1.000,0,3,3,9,2,0,4,3,17,13.6,1
19,90,19,2011-06-07,MIA,@,DAL,L 83-86,*,45:43,3,11,.273,0,3,.000,3,8,.375,.273,2,4,.500,3,6,9,7,2,0,4,4,8,5.9,-6
20,91,20,2011-06-09,MIA,@,DAL,L 103-112,*,45:38,8,19,.421,0,4,.000,8,15,.533,.421,1,2,.500,1,9,10,10,0,1,4,3,17,12.4,-11
21,92,21,2011-06-12,MIA,,DAL,L 95-105,*,40:21,9,15,.600,2,5,.400,7,10,.700,.667,1,4,.250,1,3,4,6,1,1,6,2,21,13.6,-24
