Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,218,1,2018-04-15,CLE,,IND,L 80-98,*,43:56,7,17,.412,0,4,.000,7,13,.538,.412,10,14,.714,3,7,10,12,1,1,3,2,24,23.8,-13
2,219,2,2018-04-18,CLE,,IND,W 100-97,*,39:53,17,24,.708,2,5,.400,15,19,.789,.750,10,13,.769,1,11,12,5,2,0,3,1,46,40.9,7
3,220,3,2018-04-20,CLE,@,IND,L 90-92,*,41:41,10,22,.455,4,7,.571,6,15,.400,.545,4,6,.667,3,9,12,8,1,1,6,1,28,21.5,-1
4,221,4,2018-04-22,CLE,@,IND,W 104-100,*,46:09,12,22,.545,0,5,.000,12,17,.706,.545,8,9,.889,2,11,13,7,0,2,1,3,32,29.8,3
5,222,5,2018-04-25,CLE,,IND,W 98-95,*,41:49,14,24,.583,1,4,.250,13,20,.650,.604,15,15,1.000,3,7,10,8,1,1,5,3,44,38.1,2
6,223,6,2018-04-27,CLE,@,IND,L 87-121,*,31:11,7,16,.438,3,6,.500,4,10,.400,.531,5,5,1.000,0,5,5,7,1,2,4,3,22,17.2,-24
7,224,7,2018-04-29,CLE,,IND,W 105-101,*,43:25,16,25,.640,2,3,.667,14,22,.636,.680,11,15,.733,2,6,8,7,4,0,4,4,45,38.8,-2
8,225,8,2018-05-01,CLE,@,TOR,W 113-112 (OT),*,46:56,12,30,.400,1,8,.125,11,22,.500,.417,1,6,.167,0,11,11,13,1,2,1,2,26,20.8,5
9,226,9,2018-05-03,CLE,@,TOR,W 128-110,*,40:30,19,28,.679,1,3,.333,18,25,.720,.696,4,8,.500,1,7,8,14,1,0,1,1,43,41.6,20
10,227,10,2018-05-05,CLE,,TOR,W 105-103,*,41:16,14,26,.538,1,4,.250,13,22,.591,.558,9,11,.818,1,5,6,7,3,1,4,1,38,31.0,2
11,228,11,2018-05-07,CLE,,TOR,W 128-93,*,38:24,12,19,.632,0,3,.000,12,16,.750,.632,5,8,.625,0,8,8,11,2,1,2,2,29,29.3,28
12,229,12,2018-05-13,CLE,@,BOS,L 83-108,*,36:07,5,16,.313,0,5,.000,5,11,.455,.313,5,6,.833,0,7,7,9,0,2,7,1,15,7.8,-32
13,230,13,2018-05-15,CLE,@,BOS,L 94-107,*,38:46,16,29,.552,5,11,.455,11,18,.611,.638,5,10,.500,1,9,10,12,0,1,6,3,42,31.4,-9
14,231,14,2018-05-19,CLE,,BOS,W 116-86,*,37:30,8,12,.667,3,3,1.000,5,9,.556,.792,8,10,.800,1,4,5,12,2,2,3,3,27,30.5,31
15,232,15,2018-05-21,CLE,,BOS,W 111-102,*,41:53,17,28,.607,1,4,.250,16,24,.667,.625,9,13,.692,1,4,5,3,2,0,7,3,44,27.4,9
16,233,16,2018-05-23,CLE,@,BOS,L 83-96,*,39:16,11,22,.500,1,6,.167,10,16,.625,.523,3,4,.750,0,10,10,5,1,0,6,2,26,15.3,-11
17,234,17,2018-05-25,CLE,,BOS,W 109-99,*,46:06,17,33,.515,5,7,.714,12,26,.462,.591,7,11,.636,3,8,11,9,3,1,3,2,46,38.8,15
18,235,18,2018-05-27,CLE,@,BOS,W 87-79,*,48:00,12,24,.500,3,8,.375,9,16,.563,.563,8,11,.727,0,15,15,9,0,2,8,4,35,24.4,8
19,236,19,2018-05-31,CLE,@,GSW,L 114-124 (OT),*,47:32,19,32,.594,3,7,.429,16,25,.640,.641,10,11,.909,4,4,8,8,1,1,5,2,51,41.3,-13
20,237,20,2018-06-03,CLE,@,GSW,L 103-122,*,43:51,10,20,.500,2,4,.500,8,16,.500,.550,7,9,.778,1,8,9,13,2,0,5,2,29,26.6,-18
21,238,21,2018-06-06,CLE,,GSW,L 102-110,*,46:52,13,28,.464,1,6,.167,12,22,.545,.482,6,7,.857,3,7,10,11,2,2,4,2,33,28.7,-8
22,239,22,2018-06-08,CLE,,GSW,L 85-108,*,40:34,7,13,.538,0,1,.000,7,12,.583,.538,9,11,.818,1,6,7,8,0,1,6,5,23,16.7,-21
