Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,159,1,2015-04-19,CLE,,BOS,W 113-100,*,41:55,8,18,.444,1,3,.333,7,15,.467,.472,3,4,.750,0,6,6,7,2,1,5,2,20,13.8,3
2,160,2,2015-04-21,CLE,,BOS,W 99-91,*,41:48,11,22,.500,1,5,.200,10,17,.588,.523,7,8,.875,1,8,9,7,0,2,6,3,30,20.8,11
3,161,3,2015-04-23,CLE,@,BOS,W 103-95,*,41:58,13,26,.500,1,5,.200,12,21,.571,.519,4,5,.800,1,10,11,4,4,2,2,1,31,27.1,0
4,162,4,2015-04-26,CLE,@,BOS,W 101-93,*,46:22,10,24,.417,1,7,.143,9,17,.529,.438,6,10,.600,0,10,10,8,3,1,6,2,27,18.1,7
5,163,5,2015-05-04,CLE,,CHI,L 92-99,*,41:56,9,22,.409,0,3,.000,9,19,.474,.409,1,2,.500,4,11,15,9,3,1,6,4,19,15.3,-11
6,164,6,2015-05-06,CLE,,CHI,W 106-91,*,34:13,13,29,.448,0,2,.000,13,27,.481,.448,7,9,.778,3,5,8,5,2,1,2,2,33,24.1,31
7,165,7,2015-05-08,CLE,@,CHI,L 96-99,*,43:39,8,25,.320,1,7,.143,7,18,.389,.340,10,11,.909,2,6,8,14,1,1,7,4,27,18.4,1
8,166,8,2015-05-10,CLE,@,CHI,W 86-84,*,43:09,10,30,.333,1,7,.143,9,23,.391,.350,4,4,1.000,2,12,14,8,1,2,8,4,25,11.4,5
9,167,9,2015-05-12,CLE,,CHI,W 106-101,*,40:56,14,24,.583,1,5,.200,13,19,.684,.604,9,12,.750,2,10,12,6,3,3,0,3,38,38.1,-4
10,168,10,2015-05-14,CLE,@,CHI,W 94-73,*,41:03,7,23,.304,0,4,.000,7,19,.368,.304,1,2,.500,1,8,9,11,0,2,4,4,15,7.9,20
11,169,11,2015-05-20,CLE,@,ATL,W 97-89,*,38:02,12,26,.462,0,1,.000,12,25,.480,.462,7,8,.875,1,7,8,6,1,0,4,3,31,20.0,3
12,170,12,2015-05-22,CLE,@,ATL,W 94-82,*,38:58,10,22,.455,2,7,.286,8,15,.533,.500,8,11,.727,1,8,9,11,0,1,4,1,30,24.5,18
13,171,13,2015-05-24,CLE,,ATL,W 114-111 (OT),*,46:47,14,37,.378,1,6,.167,13,31,.419,.392,8,10,.800,8,10,18,13,3,0,6,4,37,29.0,-3
14,172,14,2015-05-26,CLE,,ATL,W 118-88,*,29:10,10,20,.500,2,6,.333,8,14,.571,.550,1,4,.250,0,9,9,7,2,1,1,2,23,20.3,20
15,173,15,2015-06-04,CLE,@,GSW,L 100-108 (OT),*,45:46,18,38,.474,2,8,.250,16,30,.533,.500,6,10,.600,0,8,8,6,0,0,4,2,44,24.8,-3
16,174,16,2015-06-07,CLE,@,GSW,W 95-93 (OT),*,50:20,11,35,.314,3,6,.500,8,29,.276,.357,14,18,.778,4,12,16,11,1,1,3,3,39,28.9,0
17,175,17,2015-06-09,CLE,,GSW,W 96-91,*,46:00,14,34,.412,2,6,.333,12,28,.429,.441,10,12,.833,1,11,12,8,4,2,4,1,40,31.6,7
18,176,18,2015-06-11,CLE,,GSW,L 82-103,*,40:55,7,22,.318,1,4,.250,6,18,.333,.341,5,10,.500,2,10,12,8,0,0,2,5,20,11.4,-15
19,177,19,2015-06-14,CLE,@,GSW,L 91-104,*,44:46,15,34,.441,3,8,.375,12,26,.462,.485,7,9,.778,1,13,14,11,1,0,2,5,40,30.7,-11
20,178,20,2015-06-16,CLE,,GSW,L 97-105,*,46:42,13,33,.394,2,10,.200,11,23,.478,.424,4,8,.500,3,15,18,9,2,0,6,3,32,20.2,-3
