Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,240,1,2020-08-18,LAL,,POR,L 93-100,*,41:03,9,20,.450,1,5,.200,8,15,.533,.475,4,7,.571,2,15,17,16,1,0,4,1,23,25.1,-3
2,241,2,2020-08-20,LAL,,POR,W 111-88,*,26:41,4,11,.364,0,3,.000,4,8,.500,.364,2,2,1.000,0,6,6,7,2,0,6,1,10,6.2,23
3,242,3,2020-08-22,LAL,@,POR,W 116-108,*,34:29,11,18,.611,4,8,.500,7,10,.700,.722,12,17,.706,1,11,12,8,2,0,8,3,38,30.2,2
4,243,4,2020-08-24,LAL,@,POR,W 135-115,*,28:18,10,12,.833,4,5,.800,6,7,.857,1.000,6,8,.750,1,5,6,10,0,1,2,2,30,31.9,17
5,244,5,2020-08-29,LAL,,POR,W 131-122,*,33:52,14,19,.737,4,7,.571,10,12,.833,.842,4,4,1.000,0,10,10,10,1,1,5,1,36,34.6,20
6,245,6,2020-09-04,LAL,,HOU,L 97-112,*,36:34,7,15,.467,2,7,.286,5,8,.625,.533,4,5,.800,1,7,8,7,0,2,4,2,20,16.2,-15
7,246,7,2020-09-06,LAL,,HOU,W 117-109,*,39:16,10,17,.588,1,5,.200,9,12,.750,.618,7,10,.700,0,11,11,9,4,2,7,3,28,25.7,15
8,247,8,2020-09-08,LAL,@,HOU,W 112-102,*,37:31,13,23,.565,4,9,.444,9,14,.643,.652,6,10,.600,0,7,7,5,1,4,2,1,36,30.5,8
9,248,9,2020-09-10,LAL,@,HOU,W 110-100,*,33:45,7,17,.412,0,5,.000,7,12,.583,.412,2,3,.667,1,14,15,9,3,0,4,2,16,15.9,15
10,249,10,2020-09-12,LAL,,HOU,W 119-96,*,30:48,9,18,.500,3,8,.375,6,10,.600,.583,8,10,.800,2,9,11,7,2,1,4,2,29,26.1,19
11,250,11,2020-09-18,LAL,,DEN,W 126-114,*,30:54,6,11,.545,0,2,.000,6,9,.667,.545,3,4,.750,1,5,6,12,0,0,3,2,15,16.1,15
12,251,12,2020-09-20,LAL,,DEN,W 105-103,*,36:25,10,20,.500,3,8,.375,7,12,.583,.575,3,4,.750,2,9,11,4,0,2,6,2,26,17.1,-9
13,252,13,2020-09-22,LAL,@,DEN,L 106-114,*,37:15,14,23,.609,1,4,.250,13,19,.684,.630,1,2,.500,1,9,10,11,2,2,6,1,30,27.2,2
14,253,14,2020-09-24,LAL,@,DEN,W 114-108,*,38:21,7,18,.389,1,3,.333,6,15,.400,.417,11,14,.786,1,8,9,8,0,0,0,2,26,22.9,8
15,254,15,2020-09-26,LAL,,DEN,W 117-107,*,40:01,15,25,.600,1,4,.250,14,21,.667,.620,7,8,.875,3,13,16,10,1,0,2,2,38,37.3,12
16,255,16,2020-09-30,LAL,,MIA,W 116-98,*,36:24,9,17,.529,2,4,.500,7,13,.538,.588,5,6,.833,1,12,13,9,1,0,2,3,25,24.7,10
17,256,17,2020-10-02,LAL,,MIA,W 124-114,*,39:09,14,25,.560,3,8,.375,11,17,.647,.620,2,5,.400,2,7,9,9,1,1,0,2,33,30.6,7
18,257,18,2020-10-04,LAL,@,MIA,L 104-115,*,39:13,9,16,.563,1,5,.200,8,11,.727,.594,6,9,.667,1,9,10,8,0,2,8,2,25,17.8,-4
19,258,19,2020-10-06,LAL,@,MIA,W 102-96,*,38:38,8,16,.500,2,5,.400,6,11,.545,.563,10,12,.833,2,10,12,8,1,0,6,2,28,23.4,-2
20,259,20,2020-10-09,LAL,,MIA,L 108-111,*,41:51,15,21,.714,6,9,.667,9,12,.750,.857,4,6,.667,3,10,13,7,3,0,4,1,40,39.1,7
21,260,21,2020-10-11,LAL,@,MIA,W 106-93,*,41:13,13,20,.650,1,5,.200,12,15,.800,.675,1,4,.250,3,11,14,10,1,0,1,3,28,29.2,18
