Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,283,1,2024-04-20,LAL,@,DEN,L 103-114,*,40:45,10,16,.625,3,5,.600,7,11,.636,.719,4,5,.800,2,4,6,8,1,1,7,1,27,21.9,-9
2,284,2,2024-04-22,LAL,@,DEN,L 99-101,*,38:03,9,19,.474,3,6,.500,6,13,.462,.553,5,7,.714,0,8,8,12,2,2,2,3,26,26.5,2
3,285,3,2024-04-25,LAL,,DEN,L 105-112,*,42:09,12,20,.600,1,6,.167,11,14,.786,.625,1,2,.500,0,6,6,9,2,1,3,3,26,23.0,-8
4,286,4,2024-04-27,LAL,,DEN,W 119-108,*,38:50,14,23,.609,0,2,.000,14,21,.667,.609,2,2,1.000,1,4,5,4,3,1,6,0,30,21.9,1
5,287,5,2024-04-29,LAL,@,DEN,L 106-108,*,44:05,11,21,.524,3,7,.429,8,14,.571,.595,5,7,.714,1,8,9,11,4,0,1,4,30,31.1,3
