Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,267,1,2023-04-16,LAL,@,MEM,W 128-112,*,34:01,8,16,.500,3,8,.375,5,8,.625,.594,2,4,.500,2,9,11,5,2,3,5,1,21,18.5,7
2,268,2,2023-04-19,LAL,@,MEM,L 93-103,*,38:53,12,23,.522,1,8,.125,11,15,.733,.543,3,4,.750,2,10,12,3,1,1,1,1,28,23.1,-17
3,269,3,2023-04-22,LAL,,MEM,W 111-101,*,36:00,10,20,.500,0,4,.000,10,16,.625,.500,5,7,.714,2,7,9,5,1,1,3,3,25,18.7,-6
4,270,4,2023-04-24,LAL,,MEM,W 117-111 (OT),*,45:28,8,18,.444,1,7,.143,7,11,.636,.472,5,7,.714,5,15,20,7,0,2,1,3,22,23.9,8
5,271,5,2023-04-26,LAL,@,MEM,L 99-116,*,36:57,5,17,.294,1,9,.111,4,8,.500,.324,4,6,.667,2,8,10,5,1,1,5,1,15,7.9,-1
6,272,6,2023-04-28,LAL,,MEM,W 125-85,*,31:15,9,13,.692,2,5,.400,7,8,.875,.769,2,3,.667,1,4,5,6,1,0,3,2,22,19.4,32
7,273,7,2023-05-02,LAL,@,GSW,W 117-112,*,40:05,9,24,.375,1,8,.125,8,16,.500,.396,3,4,.750,2,9,11,4,0,3,4,0,22,13.4,1
8,274,8,2023-05-04,LAL,@,GSW,L 100-127,*,28:07,10,18,.556,3,8,.375,7,10,.700,.639,0,0,,0,7,7,3,1,0,0,3,23,18.4,-27
9,275,9,2023-05-06,LAL,,GSW,W 127-97,*,32:23,6,11,.545,2,4,.500,4,7,.571,.636,7,8,.875,1,7,8,8,0,1,0,0,21,24.4,26
10,276,10,2023-05-08,LAL,,GSW,W 104-101,*,42:57,10,25,.400,2,9,.222,8,16,.500,.440,5,5,1.000,2,7,9,6,0,1,3,3,27,17.7,-8
11,277,11,2023-05-10,LAL,@,GSW,L 106-121,*,39:10,9,17,.529,3,7,.429,6,10,.600,.618,4,4,1.000,1,8,9,3,2,1,4,3,25,19.4,-16
12,278,12,2023-05-12,LAL,,GSW,W 122-101,*,43:08,10,14,.714,2,3,.667,8,11,.727,.786,8,11,.727,0,9,9,9,2,1,2,2,30,31.9,21
13,279,13,2023-05-16,LAL,@,DEN,L 126-132,*,39:52,9,16,.563,0,4,.000,9,12,.750,.563,8,11,.727,3,9,12,9,0,1,3,1,26,25.6,-6
14,280,14,2023-05-18,LAL,@,DEN,L 103-108,*,40:08,9,19,.474,0,6,.000,9,13,.692,.474,4,4,1.000,0,9,9,10,4,2,3,2,22,23.6,4
15,281,15,2023-05-20,LAL,,DEN,L 108-119,*,42:57,8,19,.421,3,9,.333,5,10,.500,.500,4,7,.571,0,7,7,12,0,0,2,2,23,19.4,-4
16,282,16,2023-05-22,LAL,,DEN,L 111-113,*,47:56,15,25,.600,4,7,.571,11,18,.611,.680,6,7,.857,2,8,10,9,2,0,1,1,40,38.8,-2
