Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,34,1,2008-04-19,CLE,,WAS,W 93-86,*,41:25,12,19,.632,0,2,.000,12,17,.706,.632,8,14,.571,0,6,6,4,1,2,1,1,32,26.7,9
2,35,2,2008-04-21,CLE,,WAS,W 116-86,*,39:00,9,19,.474,2,6,.333,7,13,.538,.526,10,17,.588,1,8,9,12,1,2,1,2,30,29.6,34
3,36,3,2008-04-24,CLE,@,WAS,L 72-108,*,35:57,10,19,.526,0,4,.000,10,15,.667,.526,2,4,.500,0,7,7,3,1,1,4,3,22,12.6,-24
4,37,4,2008-04-27,CLE,@,WAS,W 100-97,*,44:23,11,25,.440,3,8,.375,8,17,.471,.500,9,14,.643,2,10,12,7,2,0,5,5,34,23.2,3
5,38,5,2008-04-30,CLE,,WAS,L 87-88,*,44:05,8,21,.381,3,9,.333,5,12,.417,.452,15,18,.833,2,8,10,7,1,2,5,0,34,27.4,-3
6,39,6,2008-05-02,CLE,@,WAS,W 105-88,*,44:12,8,17,.471,1,2,.500,7,15,.467,.500,10,10,1.000,2,11,13,13,2,1,1,2,27,33.0,26
7,40,7,2008-05-06,CLE,@,BOS,L 72-76,*,38:49,2,18,.111,0,6,.000,2,12,.167,.111,8,10,.800,2,7,9,9,1,1,10,4,12,-0.7,-7
8,41,8,2008-05-08,CLE,@,BOS,L 73-89,*,41:38,6,24,.250,0,4,.000,6,20,.300,.250,9,13,.692,2,3,5,6,2,1,7,1,21,6.8,-15
9,42,9,2008-05-10,CLE,,BOS,W 108-84,*,40:15,5,16,.313,3,5,.600,2,11,.182,.406,8,12,.667,0,5,5,8,4,3,2,3,21,20.2,29
10,43,10,2008-05-12,CLE,,BOS,W 88-77,*,44:00,7,20,.350,2,5,.400,5,15,.333,.400,5,8,.625,1,5,6,13,3,2,4,3,21,19.1,15
11,44,11,2008-05-14,CLE,@,BOS,L 89-96,*,44:43,12,25,.480,0,5,.000,12,20,.600,.480,11,13,.846,0,3,3,5,1,1,4,3,35,22.4,-8
12,45,12,2008-05-16,CLE,,BOS,W 74-69,*,46:39,9,23,.391,1,3,.333,8,20,.400,.413,13,15,.867,3,9,12,6,2,1,8,2,32,21.6,7
13,46,13,2008-05-18,CLE,@,BOS,L 92-97,*,46:48,14,29,.483,3,11,.273,11,18,.611,.534,14,19,.737,1,4,5,6,2,0,2,4,45,32.8,0
