Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,14,1,2007-04-22,CLE,,WAS,W 97-82,*,44:19,7,14,.500,0,2,.000,7,12,.583,.500,9,11,.818,2,7,9,7,2,0,1,1,23,24.2,17
2,15,2,2007-04-25,CLE,,WAS,W 109-102,*,45:00,8,22,.364,0,3,.000,8,19,.421,.364,11,13,.846,4,4,8,7,1,2,2,2,27,22.5,12
3,16,3,2007-04-28,CLE,@,WAS,W 98-92,*,46:02,11,22,.500,3,5,.600,8,17,.471,.568,5,7,.714,0,6,6,9,1,0,2,3,30,24.1,6
4,17,4,2007-04-30,CLE,@,WAS,W 97-90,*,46:11,8,22,.364,1,5,.200,7,17,.412,.386,14,17,.824,3,8,11,7,3,1,2,3,31,27.5,12
5,18,5,2007-05-06,CLE,,NJN,W 81-77,*,46:01,8,21,.381,1,4,.250,7,17,.412,.405,4,6,.667,2,9,11,7,1,1,3,2,21,15.6,6
6,19,6,2007-05-08,CLE,,NJN,W 102-92,*,45:49,12,24,.500,3,7,.429,9,17,.529,.563,9,13,.692,0,1,1,12,3,0,2,2,36,31.3,8
7,20,7,2007-05-12,CLE,@,NJN,L 85-96,*,44:08,5,16,.313,1,5,.200,4,11,.364,.344,7,7,1.000,0,6,6,12,0,0,2,2,18,16.2,-12
8,21,8,2007-05-14,CLE,@,NJN,W 87-85,*,46:20,9,16,.563,2,3,.667,7,13,.538,.625,10,15,.667,0,9,9,7,0,0,3,1,30,24.6,9
9,22,9,2007-05-16,CLE,,NJN,L 72-83,*,42:47,5,14,.357,0,2,.000,5,12,.417,.357,10,11,.909,3,6,9,5,2,1,5,4,20,15.3,-15
10,23,10,2007-05-18,CLE,@,NJN,W 88-72,*,38:53,8,20,.400,1,5,.200,7,15,.467,.425,6,9,.667,1,7,8,8,1,0,2,4,23,16.8,26
11,24,11,2007-05-21,CLE,@,DET,L 76-79,*,45:22,5,15,.333,0,0,,5,15,.333,.333,0,0,,1,9,10,9,4,1,2,1,10,13.5,-5
12,25,12,2007-05-24,CLE,@,DET,L 76-79,*,44:41,7,19,.368,0,1,.000,7,18,.389,.368,5,7,.714,0,6,6,7,3,0,6,1,19,11.0,-6
13,26,13,2007-05-27,CLE,,DET,W 88-82,*,46:07,12,21,.571,2,3,.667,10,18,.556,.619,6,9,.667,1,8,9,9,2,0,3,2,32,28.5,6
14,27,14,2007-05-29,CLE,,DET,W 91-87,*,44:17,8,19,.421,1,5,.200,7,14,.500,.447,8,9,.889,0,7,7,11,3,0,3,0,25,24.3,-4
15,28,15,2007-05-31,CLE,@,DET,W 109-107 (2OT),*,50:18,18,33,.545,2,3,.667,16,30,.533,.576,10,14,.714,3,6,9,7,2,0,2,3,48,38.1,2
16,29,16,2007-06-02,CLE,,DET,W 98-82,*,46:12,3,11,.273,0,2,.000,3,9,.333,.273,14,19,.737,2,12,14,8,2,2,3,1,20,22.1,13
17,30,17,2007-06-07,CLE,@,SAS,L 76-85,*,44:00,4,16,.250,2,6,.333,2,10,.200,.313,4,4,1.000,1,6,7,4,1,1,6,1,14,5.0,-5
18,31,18,2007-06-10,CLE,@,SAS,L 92-103,*,38:00,9,21,.429,0,2,.000,9,19,.474,.429,7,11,.636,3,4,7,6,1,0,6,3,25,13.6,-5
19,32,19,2007-06-12,CLE,,SAS,L 72-75,*,41:59,9,23,.391,0,5,.000,9,18,.500,.391,7,8,.875,0,8,8,7,2,1,5,3,25,15.9,4
20,33,20,2007-06-14,CLE,,SAS,L 82-83,*,46:29,10,30,.333,2,7,.286,8,23,.348,.367,2,6,.333,0,6,6,10,0,0,6,1,24,7.8,2
