Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,931,1,2001-10-30,WAS,@,NYK,L 91-93,*,36:42,7,21,.333,0,3,.000,7,18,.389,.333,5,6,.833,3,2,5,6,4,0,3,3,19,13.4,-9
2,932,2,2001-11-01,WAS,@,ATL,W 98-88,*,40:23,13,30,.433,0,3,.000,13,27,.481,.433,5,6,.833,0,6,6,6,2,0,1,2,31,21.0,6
3,933,3,2001-11-03,WAS,,PHI,W 90-76,*,38:06,7,21,.333,0,0,,7,21,.333,.333,6,9,.667,2,4,6,9,2,1,2,1,20,16.1,14
4,934,4,2001-11-04,WAS,@,DET,L 78-100,*,22:29,8,18,.444,0,0,,8,18,.444,.444,3,3,1.000,0,8,8,2,1,0,1,1,19,13.0,-24
5,935,5,2001-11-07,WAS,@,BOS,L 95-104,*,40:34,12,26,.462,0,1,.000,12,25,.480,.462,8,10,.800,2,6,8,2,2,0,5,2,32,18.6,-8
6,936,6,2001-11-09,WAS,,GSW,L 100-109,*,38:17,13,30,.433,0,1,.000,13,29,.448,.433,6,8,.750,0,3,3,3,3,0,3,3,32,17.2,-18
7,937,7,2001-11-11,WAS,,SEA,L 84-99,*,38:53,5,26,.192,0,1,.000,5,25,.200,.192,6,6,1.000,3,9,12,4,1,2,1,4,16,7.2,-9
8,938,8,2001-11-14,WAS,,MIL,L 98-107,*,40:40,12,24,.500,0,1,.000,12,23,.522,.500,7,8,.875,1,3,4,3,2,1,3,3,31,20.8,-12
9,939,9,2001-11-16,WAS,,UTA,L 92-101,*,41:03,17,33,.515,1,2,.500,16,31,.516,.530,9,11,.818,3,4,7,3,1,0,0,0,44,33.3,-11
10,940,10,2001-11-20,WAS,,CHH,L 88-95,*,41:03,13,23,.565,1,2,.500,12,21,.571,.587,3,4,.750,0,4,4,6,2,0,5,4,30,19.5,-7
11,941,11,2001-11-22,WAS,@,IND,L 103-110,*,39:39,8,26,.308,0,1,.000,8,25,.320,.308,5,5,1.000,0,5,5,6,2,1,3,1,21,11.0,-12
12,942,12,2001-11-24,WAS,,BOS,W 88-84 (OT),*,44:41,7,24,.292,0,1,.000,7,23,.304,.292,3,3,1.000,1,10,11,6,1,0,2,3,17,8.7,2
13,943,13,2001-11-27,WAS,@,CLE,L 75-94,*,30:44,9,24,.375,0,0,,9,24,.375,.375,0,0,,1,3,4,5,1,0,0,2,18,10.1,-6
14,944,14,2001-11-28,WAS,@,PHI,W 94-87,*,38:04,11,27,.407,0,1,.000,11,26,.423,.407,8,10,.800,0,6,6,7,5,1,1,2,30,25.3,0
15,945,15,2001-11-30,WAS,@,MIA,W 84-75,*,37:44,10,20,.500,0,1,.000,10,19,.526,.500,2,3,.667,1,6,7,5,0,0,2,2,22,14.8,15
16,946,16,2001-12-01,WAS,,ORL,L 87-96,*,33:25,6,19,.316,0,0,,6,19,.316,.316,3,3,1.000,0,7,7,7,0,2,2,4,15,8.9,-5
17,947,18,2001-12-06,WAS,@,HOU,W 85-82,*,32:51,9,23,.391,0,0,,9,23,.391,.391,0,0,,0,6,6,7,0,0,4,2,18,7.4,4
18,948,19,2001-12-08,WAS,@,DAL,W 102-95,*,35:05,7,21,.333,0,1,.000,7,20,.350,.333,7,9,.778,2,10,12,4,4,0,1,3,21,17.3,12
19,949,20,2001-12-11,WAS,@,MEM,W 91-81,*,30:40,8,19,.421,0,1,.000,8,18,.444,.421,0,0,,0,6,6,9,0,0,0,2,16,13.2,7
20,950,21,2001-12-12,WAS,,MIA,W 82-80,*,34:07,9,23,.391,0,1,.000,9,22,.409,.391,7,11,.636,0,6,6,7,1,1,1,0,25,18.3,14
21,951,22,2001-12-14,WAS,,NYK,W 96-80,*,33:35,8,19,.421,0,1,.000,8,18,.444,.421,3,3,1.000,0,6,6,6,1,2,5,4,19,10.7,15
22,952,23,2001-12-16,WAS,@,TOR,W 93-88,*,35:37,8,21,.381,0,0,,8,21,.381,.381,5,6,.833,2,2,4,3,3,0,4,3,21,11.0,-1
23,953,24,2001-12-19,WAS,,ATL,W 103-76,*,26:49,11,19,.579,0,1,.000,11,18,.611,.579,1,1,1.000,1,3,4,6,1,1,2,2,23,18.8,10
24,954,25,2001-12-21,WAS,@,ORL,W 93-75,*,33:33,3,16,.188,0,0,,3,16,.188,.188,6,6,1.000,3,3,6,8,1,0,3,1,12,8.2,20
25,955,26,2001-12-22,WAS,@,NYK,W 87-86,*,36:20,11,22,.500,0,0,,11,22,.500,.500,4,7,.571,0,1,1,3,1,0,4,2,26,12.4,6
26,956,27,2001-12-26,WAS,@,CHH,L 93-99,*,34:54,11,28,.393,1,2,.500,10,26,.385,.411,5,6,.833,1,3,4,7,1,0,3,4,28,15.3,4
27,957,28,2001-12-27,WAS,@,IND,L 81-108,*,25:13,2,10,.200,1,2,.500,1,8,.125,.250,1,2,.500,2,2,4,4,0,0,4,1,6,-0.2,-30
28,958,29,2001-12-29,WAS,,CHH,W 107-90,*,38:13,21,38,.553,0,2,.000,21,36,.583,.553,9,10,.900,2,5,7,4,3,0,4,3,51,35.9,24
29,959,30,2001-12-31,WAS,,NJN,W 98-76,*,38:28,16,32,.500,1,3,.333,15,29,.517,.516,12,13,.923,0,10,10,7,3,0,3,2,45,35.7,26
30,960,31,2002-01-04,WAS,,CHI,W 89-83,*,37:56,9,24,.375,0,2,.000,9,22,.409,.375,11,13,.846,0,7,7,3,2,2,5,4,29,16.0,17
31,961,32,2002-01-08,WAS,,LAC,W 96-88,*,42:22,9,24,.375,0,0,,9,24,.375,.375,0,1,.000,2,8,10,8,1,0,4,1,18,10.4,2
32,962,33,2002-01-11,WAS,@,MIL,L 86-105,*,32:37,10,24,.417,0,0,,10,24,.417,.417,2,4,.500,0,3,3,3,1,0,6,2,22,5.6,-16
33,963,34,2002-01-12,WAS,,MIN,L 100-108,*,40:09,14,30,.467,0,0,,14,30,.467,.467,7,7,1.000,0,6,6,4,1,1,5,2,35,20.1,-7
34,964,35,2002-01-15,WAS,,SAS,L 91-96,*,40:16,5,21,.238,0,0,,5,21,.238,.238,10,16,.625,0,1,1,4,0,1,4,0,20,4.7,-6
35,965,36,2002-01-16,WAS,@,NJN,L 67-111,*,18:01,4,14,.286,0,0,,4,14,.286,.286,2,2,1.000,0,2,2,1,1,1,1,1,10,3.4,-28
