Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,991,1,2002-10-30,WAS,@,TOR,L 68-74,,24:30,4,14,.286,0,0,,4,14,.286,.286,0,2,.000,0,3,3,1,3,0,2,3,8,0.4,4
2,992,2,2002-10-31,WAS,,BOS,W 114-69,,21:26,8,15,.533,0,0,,8,15,.533,.533,5,5,1.000,0,4,4,5,2,1,0,1,21,20.7,29
3,993,3,2002-11-02,WAS,,NJN,L 79-87,,27:25,7,16,.438,1,2,.500,6,14,.429,.469,6,8,.750,0,2,2,2,2,0,0,2,21,15.0,1
4,994,4,2002-11-05,WAS,@,MIN,L 86-90,,28:53,5,14,.357,0,0,,5,14,.357,.357,0,0,,0,2,2,1,1,0,1,2,10,2.7,2
5,995,5,2002-11-06,WAS,,CLE,W 107-100,,24:16,2,6,.333,0,1,.000,2,5,.400,.333,2,3,.667,1,2,3,4,3,0,1,3,6,7.1,3
6,996,6,2002-11-08,WAS,,LAL,W 100-99,,29:50,9,14,.643,0,0,,9,14,.643,.643,7,12,.583,0,3,3,3,2,0,2,4,25,18.2,-7
7,997,7,2002-11-09,WAS,@,CLE,W 93-79,,31:31,5,11,.455,0,1,.000,5,10,.500,.455,2,2,1.000,2,6,8,6,0,2,0,3,12,13.9,10
8,998,8,2002-11-12,WAS,,SEA,L 95-101,,30:35,13,22,.591,0,0,,13,22,.591,.591,1,2,.500,1,5,6,4,1,1,4,1,27,18.7,8
9,999,9,2002-11-14,WAS,,UTA,W 105-102,,33:42,7,17,.412,0,1,.000,7,16,.438,.412,5,5,1.000,0,6,6,1,1,0,3,4,19,8.8,11
10,1000,10,2002-11-16,WAS,,MIA,W 95-65,,18:48,4,5,.800,0,0,,4,5,.800,.800,0,0,,0,5,5,2,2,0,1,3,8,8.8,16
11,1001,11,2002-11-17,WAS,@,PHI,L 84-100,,27:49,9,16,.563,1,2,.500,8,14,.571,.594,0,0,,0,2,2,3,1,0,5,1,19,9.7,-13
12,1002,12,2002-11-22,WAS,@,HOU,L 86-93,,29:28,4,15,.267,0,0,,4,15,.267,.267,0,0,,0,2,2,1,0,0,1,2,8,-1.4,-6
13,1003,13,2002-11-23,WAS,@,MEM,L 74-85,,31:37,9,18,.500,0,0,,9,18,.500,.500,2,2,1.000,2,4,6,5,2,0,3,1,20,15.7,-6
