Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
72,920,72,1998-03-29,CHI,@,MIL,W 104-87,*,34:48,13,24,.542,0,1,.000,13,23,.565,.542,4,5,.800,1,1,2,0,2,0,0,3,30,19.8,4
73,921,73,1998-03-31,CHI,,DET,W 106-101 (OT),*,47:20,11,26,.423,0,2,.000,11,24,.458,.423,4,4,1.000,1,2,3,8,4,2,4,5,26,18.5,4
74,922,74,1998-04-03,CHI,,MIN,W 107-93,*,37:49,16,25,.640,2,6,.333,14,19,.737,.680,7,8,.875,3,3,6,4,1,0,0,1,41,35.9,19
75,923,75,1998-04-05,CHI,@,HOU,W 109-94,*,37:16,18,31,.581,0,0,,18,31,.581,.581,4,4,1.000,2,2,4,3,3,0,2,3,40,29.4,15
76,924,76,1998-04-07,CHI,,WAS,W 103-85,*,32:59,11,21,.524,1,2,.500,10,19,.526,.548,7,8,.875,1,3,4,3,1,1,2,0,30,22.7,32
77,925,77,1998-04-09,CHI,@,CLE,L 85-91,*,36:42,10,24,.417,0,2,.000,10,22,.455,.417,9,12,.750,0,6,6,4,0,0,4,3,29,14.4,-3
78,926,78,1998-04-11,CHI,,ORL,W 87-78,*,35:12,15,25,.600,3,5,.600,12,20,.600,.660,4,10,.400,1,3,4,2,4,0,0,2,37,29.3,22
79,927,79,1998-04-13,CHI,,IND,L 105-114,*,41:19,7,19,.368,1,1,1.000,6,18,.333,.395,12,14,.857,0,4,4,3,3,0,4,0,27,18.0,3
80,928,80,1998-04-15,CHI,@,DET,L 79-87,*,43:01,7,25,.280,0,3,.000,7,22,.318,.280,5,10,.500,4,2,6,4,1,0,2,4,19,5.9,-13
81,929,81,1998-04-17,CHI,@,PHI,W 87-80,*,38:34,9,19,.474,0,2,.000,9,17,.529,.474,6,8,.750,1,5,6,2,5,0,4,5,24,16.1,10
82,930,82,1998-04-18,CHI,,NYK,W 111-109,*,39:52,11,24,.458,0,0,,11,24,.458,.458,22,24,.917,0,3,3,3,1,0,1,1,44,33.4,-6
