Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
38,220,38,1988-01-23,CHI,,GSW,W 121-94,*,38:00,13,19,.684,0,0,,13,19,.684,.684,10,13,.769,3,4,7,8,3,1,2,5,36,35.3
39,221,39,1988-01-26,CHI,@,IND,L 93-97,*,40:00,13,26,.500,1,1,1.000,12,25,.480,.519,7,10,.700,2,5,7,5,2,1,6,5,34,20.9
40,222,40,1988-01-27,CHI,@,PHI,W 119-109 (OT),*,46:00,12,21,.571,1,1,1.000,11,20,.550,.595,12,12,1.000,2,2,4,7,2,1,2,5,37,32.7
41,223,41,1988-01-29,CHI,,NJN,W 120-93,*,27:00,14,18,.778,0,0,,14,18,.778,.778,4,5,.800,0,1,1,4,10,2,3,1,32,35.7
42,224,42,1988-01-30,CHI,,NYK,W 97-95 (OT),*,44:00,10,17,.588,0,1,.000,10,16,.625,.588,8,8,1.000,1,4,5,4,2,4,5,3,28,23.4
43,225,43,1988-02-01,CHI,@,SAC,L 95-97,*,40:00,13,31,.419,0,0,,13,31,.419,.419,11,15,.733,0,5,5,3,5,3,4,4,37,24.0
44,226,44,1988-02-02,CHI,@,LAL,L 101-110,*,40:00,14,26,.538,0,0,,14,26,.538,.538,11,11,1.000,1,1,2,4,3,1,3,3,39,29.7
45,227,45,1988-02-04,CHI,@,PHO,W 113-101,*,37:00,14,27,.519,0,1,.000,14,26,.538,.519,9,11,.818,1,4,5,8,0,1,0,1,37,30.7
46,228,46,1988-02-09,CHI,,DET,L 74-89,*,42:00,7,22,.318,0,0,,7,22,.318,.318,6,8,.750,1,6,7,9,4,0,2,4,20,15.8
47,229,47,1988-02-10,CHI,@,NJN,L 84-93,*,37:00,10,23,.435,0,2,.000,10,21,.476,.435,14,15,.933,2,2,4,4,1,3,3,3,34,25.2
48,230,48,1988-02-12,CHI,@,MIL,W 95-93,*,43:00,9,19,.474,0,1,.000,9,18,.500,.474,9,10,.900,0,6,6,8,0,0,3,3,27,20.1
