Season,Age,Team,Lg,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards
1979-80,23,BOS,NBA,PF,82,82,2955,20.5,.538,.098,.246,8.3,23.6,16.0,18.5,2.3,1.0,14.0,25.3,5.6,5.6,11.2,.182,3.0,1.5,4.5,4.8,MVP-4ROY-1ASNBA1
1980-81,24,BOS,NBA,PF,82,82,3239,19.9,.528,.049,.218,7.0,23.8,15.7,20.4,2.4,1.1,14.9,24.3,4.7,6.1,10.8,.160,2.5,1.8,4.3,5.2,MVP-2ASNBA1
1981-82,25,BOS,NBA,PF,77,58,2923,22.6,.557,.037,.269,7.7,23.4,15.8,22.5,2.3,1.2,13.8,25.2,6.8,5.7,12.5,.205,4.4,2.3,6.6,6.4,MVP-2ASNBA1DEF2
1982-83,26,BOS,NBA,PF,79,79,2982,24.1,.561,.052,.282,7.0,24.2,15.7,22.4,2.3,1.3,12.6,25.0,8.4,5.6,14.0,.225,5.4,2.1,7.5,7.2,MVP-2DPOY-3ASNBA1DEF2
1983-84,27,BOS,NBA,PF,79,77,3028,24.2,.552,.047,.273,7.0,22.3,14.9,26.2,2.3,1.3,12.1,26.7,7.9,5.6,13.6,.215,5.6,2.0,7.6,7.3,MVP-1DPOY-12ASNBA1DEF2
1984-85,28,BOS,NBA,SF,80,77,3161,26.5,.585,.074,.260,6.0,22.6,14.7,25.7,1.9,1.7,11.2,28.5,10.5,5.2,15.7,.238,6.8,2.0,8.8,8.7,MVP-1ASNBA1
1985-86,29,BOS,NBA,SF,82,81,3113,25.6,.580,.121,.306,7.2,20.4,14.2,26.3,2.5,0.9,12.7,27.6,9.6,6.2,15.8,.244,6.6,2.1,8.7,8.4,MVP-1ASNBA1
1986-87,30,BOS,NBA,SF,74,73,3005,26.4,.612,.150,.304,5.1,19.2,12.8,28.6,2.2,1.3,12.4,27.5,10.4,4.8,15.2,.243,7.3,2.0,9.4,8.6,MVP-3ASNBA1
1987-88,31,BOS,NBA,SF,76,75,2965,27.8,.608,.142,.271,4.6,22.3,14.0,25.7,2.1,1.1,10.2,30.2,11.2,3.8,15.0,.243,7.8,1.0,8.8,8.1,MVP-2ASNBA1
1988-89,32,BOS,NBA,SF,6,6,189,19.8,.516,.000,.183,0.6,21.6,11.2,24.3,1.6,1.6,8.9,27.1,0.3,0.2,0.5,.129,2.1,1.6,3.7,0.3,
1989-90,33,BOS,NBA,SF,75,75,2944,21.9,.546,.129,.226,3.6,22.2,13.4,28.9,1.8,1.2,12.7,27.4,5.3,4.1,9.5,.154,4.1,1.2,5.3,5.5,MVP-10ASNBA2
1990-91,34,BOS,NBA,SF,60,60,2277,19.7,.530,.195,.180,2.8,20.4,12.3,25.9,2.3,1.5,14.6,23.7,3.0,3.6,6.6,.140,2.9,1.7,4.6,3.8,MVP-9AS
1991-92,35,BOS,NBA,SF,45,45,1662,21.0,.547,.169,.214,3.2,24.6,14.4,26.9,1.3,1.2,13.1,24.7,3.0,2.5,5.5,.159,4.3,1.3,5.5,3.1,MVP-14AS
