Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,22,20,20,893,10.4,25.0,.416,1.3,4.7,.280,9.1,20.3,.448,.442,9.3,12.3,.755,1.6,8.5,10.1,10.0,2.1,0.6,4.1,2.5,31.4,109,99,,jamesle01
2,Zydrunas Ilgauskas,31,20,20,649,8.4,17.0,.492,0.0,0.0,,8.4,17.0,.492,.492,4.9,5.9,.838,5.7,11.0,16.6,1.5,0.8,1.4,2.8,5.2,21.7,112,99,,ilgauzy01
3,Larry Hughes,28,18,18,639,6.0,17.4,.347,1.7,4.7,.352,4.4,12.7,.345,.394,4.1,5.5,.746,0.8,5.4,6.2,3.9,2.2,0.7,3.7,3.1,17.9,88,100,,hughela01
4,Sasha Pavlović,23,20,20,616,6.5,17.2,.381,1.8,5.3,.345,4.7,11.9,.397,.434,1.7,3.3,.528,1.2,3.5,4.6,2.9,1.7,0.5,3.3,5.8,16.6,87,103,,pavloal01
5,Drew Gooden,25,20,20,605,9.2,18.6,.493,0.0,0.2,.000,9.2,18.4,.497,.493,2.8,3.6,.769,4.5,10.3,14.8,1.9,0.9,0.8,2.5,5.7,21.1,106,100,,goodedr01
6,Anderson Varejão,24,20,0,447,5.8,11.3,.511,0.0,0.5,.000,5.8,10.8,.535,.511,3.4,6.0,.563,5.8,9.1,14.9,1.4,2.6,1.4,2.5,6.6,14.9,108,96,,varejan01
7,Daniel Gibson,20,20,2,402,7.0,16.2,.431,3.8,9.2,.409,3.2,7.0,.460,.547,5.3,6.0,.884,1.3,3.2,4.5,2.9,1.7,0.6,1.3,4.7,23.0,127,103,,gibsoda01
8,Eric Snow,33,19,0,244,2.8,8.7,.316,0.0,0.7,.000,2.8,8.0,.343,.316,1.8,3.2,.571,1.6,4.8,6.4,6.7,2.5,0.5,1.8,5.0,7.3,91,100,,snower01
9,Donyell Marshall,33,19,0,204,6.3,18.9,.333,3.8,12.3,.311,2.5,6.6,.375,.435,1.9,3.0,.636,3.3,8.0,11.3,1.4,0.8,1.1,1.4,8.2,18.4,100,101,,marshdo01
10,Damon Jones,30,11,0,139,3.2,10.5,.308,2.8,8.9,.318,0.4,1.6,.250,.442,1.2,1.2,1.000,0.4,3.2,3.6,4.4,0.0,0.0,0.0,4.0,10.5,120,107,,jonesda01
11,Ira Newble,32,6,0,10,0.0,11.2,.000,0.0,11.2,.000,0.0,0.0,,.000,0.0,0.0,,0.0,5.6,5.6,5.6,0.0,0.0,0.0,16.8,0.0,29,105,,newblir01
12,Scot Pollard,31,3,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,0.0,,108,,pollasc01
