Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Anthony Davis,30,5,5,208,14.3,22.5,.634,0.0,1.2,.000,14.3,21.3,.670,.634,5.1,6.3,.808,3.6,15.3,18.9,4.8,0.5,1.9,2.7,4.6,33.7,129,109,,davisan02
2,LeBron James,39,5,5,204,13.8,24.4,.566,2.5,6.4,.385,11.4,18.0,.630,.616,4.2,5.7,.739,1.0,7.4,8.4,10.9,3.0,1.2,4.7,2.7,34.3,118,110,,jamesle01
3,D'Angelo Russell,27,5,5,185,7.6,19.9,.384,3.8,12.0,.318,3.8,7.9,.483,.479,0.3,0.5,.500,0.3,3.5,3.8,5.7,1.1,0.3,2.5,1.6,19.3,94,118,,russeda01
4,Austin Reaves,25,5,5,174,8.7,18.2,.476,2.0,7.5,.269,6.7,10.7,.622,.532,4.9,5.5,.895,1.4,4.1,5.5,5.2,2.0,0.9,1.2,2.3,24.3,123,114,,reaveau01
5,Rui Hachimura,25,5,5,152,5.0,12.6,.395,1.7,4.6,.357,3.3,8.0,.417,.461,1.3,2.7,.500,2.0,4.3,6.3,1.3,0.0,0.0,0.7,2.7,12.9,100,120,,hachiru01
6,Taurean Prince,29,5,0,111,5.4,13.2,.414,2.3,7.7,.294,3.2,5.4,.583,.500,3.6,3.6,1.000,0.5,5.0,5.4,1.4,0.5,0.9,0.5,4.1,16.8,116,117,,princta02
7,Spencer Dinwiddie,30,5,0,73,3.5,9.7,.357,1.4,5.5,.250,2.1,4.1,.500,.429,2.1,4.1,.500,0.7,4.1,4.8,5.5,1.4,0.7,0.7,4.8,10.4,106,116,,dinwisp01
8,Gabe Vincent,27,5,0,69,2.2,8.8,.250,0.7,5.1,.143,1.5,3.7,.400,.292,0.0,0.0,,0.7,5.1,5.8,2.2,1.5,0.0,2.2,5.8,5.1,61,116,,vincega01
9,Jaxson Hayes,23,4,0,24,0.0,4.2,.000,0.0,0.0,,0.0,4.2,.000,.000,2.1,4.2,.500,6.3,18.9,25.2,2.1,0.0,0.0,4.2,14.7,2.1,69,110,,hayesja02
