Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,32,18,18,744,14.5,25.6,.565,2.9,7.1,.411,11.6,18.5,.625,.622,7.5,10.8,.698,1.3,9.7,11.0,9.4,2.3,1.5,4.8,2.9,39.5,125,108,,jamesle01
2,Kyrie Irving,24,18,18,653,13.2,28.2,.468,3.3,9.0,.373,9.8,19.2,.512,.527,5.8,6.4,.905,1.0,2.9,3.9,7.2,1.7,0.6,3.7,2.9,35.5,116,115,,irvinky01
3,Kevin Love,28,18,18,578,8.2,18.7,.436,4.3,9.5,.450,3.9,9.2,.421,.550,5.4,6.4,.840,3.1,13.3,16.4,2.6,1.8,1.4,2.7,4.0,26.0,120,107,,loveke01
4,Tristan Thompson,25,18,18,562,4.8,8.1,.587,0.0,0.0,,4.8,8.1,.587,.587,3.5,5.3,.667,6.1,7.2,13.3,2.3,0.8,1.1,1.9,3.2,13.1,133,113,,thomptr01
5,J.R. Smith,31,18,18,487,5.1,10.1,.505,4.1,8.2,.500,1.0,1.9,.526,.707,0.5,1.1,.455,0.5,3.8,4.3,1.3,1.3,0.6,1.2,4.2,14.8,127,115,,smithjr01
6,Kyle Korver,35,18,0,326,5.2,12.2,.425,4.1,10.5,.391,1.1,1.7,.636,.594,1.5,1.5,1.000,0.3,4.3,4.6,2.0,1.1,0.8,1.1,3.4,16.0,123,115,,korveky01
7,Iman Shumpert,26,17,0,275,4.5,10.8,.417,1.8,4.7,.385,2.7,6.1,.441,.500,2.5,3.1,.824,1.1,7.4,8.5,2.9,1.8,0.5,1.1,5.8,13.4,118,112,,shumpim01
8,Deron Williams,32,18,0,262,5.3,12.1,.438,2.3,5.9,.387,3.0,6.3,.485,.531,1.9,2.1,.909,0.6,3.8,4.4,7.2,1.9,0.2,3.2,5.5,14.8,111,114,,willide01
9,Richard Jefferson,36,14,0,179,4.4,10.5,.421,1.4,5.3,.263,3.1,5.3,.579,.487,5.0,7.8,.643,2.8,4.2,6.9,1.9,0.6,0.8,2.2,8.3,15.3,111,116,,jefferi01
10,Channing Frye,33,12,0,154,10.0,19.4,.517,6.5,12.6,.513,3.5,6.8,.524,.683,1.9,2.3,.857,0.0,7.1,7.1,4.2,1.0,1.3,0.6,3.5,28.4,142,113,,fryech01
11,Derrick Williams,25,8,0,38,10.5,19.6,.533,3.9,6.5,.600,6.5,13.1,.500,.633,2.6,2.6,1.000,1.3,2.6,3.9,5.2,0.0,1.3,3.9,0.0,27.5,120,118,,willide02
12,Dahntay Jones,36,10,0,33,7.5,15.1,.500,1.5,3.0,.500,6.0,12.0,.500,.550,7.5,7.5,1.000,1.5,9.0,10.5,1.5,0.0,1.5,1.5,10.5,24.1,132,113,,jonesda02
13,James Jones,36,8,0,30,1.7,8.3,.200,0.0,5.0,.000,1.7,3.3,.500,.200,0.0,0.0,,1.7,5.0,6.6,0.0,0.0,0.0,3.3,5.0,3.3,41,118,,jonesja02
