Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,22,78,78,3190,12.8,26.9,.476,1.6,5.1,.319,11.2,21.7,.513,.507,8.1,11.6,.698,1.4,7.3,8.7,7.8,2.1,0.9,4.1,2.8,35.3,112,100,MVP-5ASNBA2,jamesle01
2,Larry Hughes,28,70,68,2596,7.8,19.4,.400,1.5,4.5,.333,6.3,14.9,.420,.439,4.3,6.3,.676,0.8,4.6,5.4,5.2,1.8,0.5,3.1,3.3,21.3,98,103,,hughela01
3,Drew Gooden,25,80,80,2238,8.8,18.5,.473,0.0,0.1,.167,8.7,18.4,.476,.474,3.4,4.7,.714,6.2,9.9,16.1,2.1,1.7,0.7,2.7,5.0,20.9,107,100,,goodedr01
4,Zydrunas Ilgauskas,31,78,78,2130,9.6,19.7,.485,0.0,0.0,.000,9.6,19.7,.486,.485,3.8,4.8,.807,6.0,8.9,14.9,3.1,1.2,2.4,3.5,6.4,23.0,107,99,,ilgauzy01
5,Anderson Varejão,24,81,6,1932,5.2,11.0,.476,0.0,0.2,.000,5.2,10.7,.487,.476,4.5,7.3,.616,5.2,9.7,14.9,2.1,2.1,1.4,1.8,7.4,15.0,113,98,,varejan01
6,Eric Snow,33,82,45,1929,3.7,8.9,.417,0.0,0.1,.000,3.7,8.8,.422,.417,2.0,3.1,.637,1.0,4.2,5.2,9.0,1.5,0.4,3.0,5.1,9.4,99,104,,snower01
7,Sasha Pavlović,23,67,28,1534,7.7,16.9,.453,2.1,5.1,.405,5.6,11.8,.474,.514,3.4,4.3,.794,0.8,4.7,5.4,3.6,1.9,0.6,3.5,5.0,20.8,103,103,,pavloal01
8,Donyell Marshall,33,81,0,1360,8.1,19.2,.424,3.7,10.5,.351,4.4,8.6,.514,.520,2.1,3.1,.663,3.3,9.2,12.6,1.8,1.5,1.7,2.6,5.1,22.0,106,99,,marshdo01
9,Damon Jones,30,60,0,1173,6.2,16.0,.386,4.0,10.4,.385,2.2,5.6,.387,.511,1.4,2.0,.682,0.4,2.6,3.0,4.2,0.7,0.1,1.6,2.4,17.7,109,107,,jonesda01
10,Daniel Gibson,20,60,16,988,5.2,12.4,.424,2.8,6.6,.419,2.5,5.7,.430,.537,1.5,2.1,.718,1.5,3.4,4.9,3.7,1.2,0.4,2.4,5.0,14.8,108,105,,gibsoda01
11,David Wesley,36,35,5,352,3.3,11.3,.293,1.4,5.7,.237,2.0,5.6,.351,.353,3.0,4.2,.714,0.5,4.8,5.3,5.6,1.8,0.6,2.6,4.8,11.0,91,103,,wesleda01
12,Shannon Brown,21,23,5,202,7.3,19.4,.378,1.8,6.5,.280,5.5,12.8,.429,.426,2.6,3.7,.714,1.6,3.9,5.5,2.6,1.8,0.8,3.7,6.3,19.1,88,103,,brownsh01
13,Ira Newble,32,15,1,129,6.6,15.2,.432,3.3,6.1,.533,3.3,9.0,.364,.541,2.5,4.1,.600,5.3,7.0,12.3,0.8,2.5,0.0,1.2,7.0,18.8,119,100,,newblir01
14,Scot Pollard,31,24,0,109,5.3,12.6,.423,0.0,0.0,,5.3,12.6,.423,.423,1.0,1.9,.500,7.3,7.8,15.0,1.5,1.9,0.5,1.9,13.1,11.6,101,100,,pollasc01
15,Dwayne Jones,23,4,0,18,0.0,2.9,.000,0.0,0.0,,0.0,2.9,.000,.000,8.8,17.6,.500,2.9,14.7,17.6,0.0,0.0,0.0,5.9,8.8,8.8,64,101,,jonesdw02
