Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,33,82,82,3026,13.9,25.6,.542,2.4,6.6,.367,11.5,19.0,.603,.590,6.3,8.6,.731,1.6,9.9,11.5,12.1,1.9,1.1,5.6,2.2,36.4,118,109,MVP-2ASNBA1,jamesle01
2,J.R. Smith,32,80,61,2244,5.2,13.0,.403,3.1,8.3,.375,2.1,4.7,.453,.524,0.9,1.2,.696,0.6,4.5,5.1,3.1,1.5,0.2,1.8,3.5,14.5,103,114,,smithjr01
3,Jeff Green,31,78,14,1828,7.9,16.6,.477,1.4,4.6,.312,6.5,12.0,.540,.520,5.4,6.3,.868,1.6,5.0,6.6,2.7,1.1,0.9,2.0,4.0,22.7,115,114,,greenje02
4,Kevin Love,29,59,59,1651,9.9,21.6,.458,4.1,9.8,.415,5.8,11.8,.494,.552,6.9,7.9,.880,3.0,13.2,16.2,3.1,1.3,0.7,2.7,3.6,30.8,120,109,AS,loveke01
5,Kyle Korver,36,73,4,1574,6.9,15.1,.459,5.1,11.7,.436,1.8,3.4,.537,.628,2.0,2.2,.889,0.3,4.9,5.1,2.7,1.0,0.8,1.7,4.0,20.9,120,114,,korveky01
6,Jae Crowder,27,53,47,1346,5.7,13.7,.418,2.3,6.9,.328,3.5,6.8,.508,.500,2.8,3.3,.848,1.5,4.8,6.3,2.1,1.5,0.4,1.5,4.5,16.5,109,113,,crowdja01
7,Tristan Thompson,26,53,22,1072,6.0,10.7,.562,0.0,0.0,,6.0,10.7,.562,.562,2.0,3.6,.544,5.8,10.3,16.1,1.5,0.7,0.8,1.6,4.7,14.0,120,112,,thomptr01
8,Dwyane Wade,36,46,3,1069,9.1,19.9,.455,1.1,3.2,.329,8.0,16.7,.479,.482,4.3,6.1,.701,1.8,6.5,8.3,7.5,1.9,1.5,4.2,3.8,23.5,102,110,6MOY-10,wadedw01
9,José Calderón,36,57,32,914,5.0,9.9,.503,2.4,5.2,.464,2.6,4.7,.545,.624,1.3,1.6,.800,0.8,3.8,4.5,6.3,1.4,0.1,2.2,4.3,13.7,122,115,,caldejo01
10,Cedi Osman,22,61,12,672,6.6,13.6,.484,2.3,6.3,.368,4.2,7.2,.586,.570,1.9,3.4,.565,1.4,7.4,8.7,3.0,1.6,0.2,2.3,5.7,17.3,108,112,,osmande01
11,George Hill,31,24,24,669,6.1,13.7,.444,2.0,5.6,.351,4.1,8.1,.509,.516,2.4,3.0,.805,1.5,3.2,4.7,4.9,1.6,1.1,2.1,3.9,16.5,112,113,,hillge01
12,Jordan Clarkson,25,28,0,632,10.2,22.2,.456,3.4,8.4,.407,6.7,13.9,.486,.533,3.6,4.5,.810,1.0,3.5,4.5,3.7,1.5,0.2,2.5,3.4,27.4,109,115,6MOY-7,clarkjo01
13,Channing Frye,34,44,1,545,7.6,15.2,.497,2.7,8.1,.333,4.9,7.1,.684,.586,1.3,1.3,.933,0.9,9.0,9.9,2.5,1.5,1.1,1.5,4.9,19.1,115,110,,fryech01
14,Rodney Hood,25,21,11,532,8.1,18.3,.442,2.3,6.5,.352,5.8,11.8,.492,.505,2.4,2.9,.813,0.7,4.2,5.0,2.8,1.4,0.5,0.6,3.8,20.9,111,114,6MOY-12,hoodro01
15,Larry Nance Jr.,25,24,9,499,8.6,15.7,.550,0.1,0.8,.125,8.5,14.9,.572,.553,3.5,4.9,.720,5.2,11.3,16.5,2.5,2.8,1.8,1.0,5.8,20.9,127,105,,nancela02
16,Isaiah Thomas,28,15,14,406,8.4,23.4,.361,2.7,10.5,.253,5.8,12.9,.449,.418,7.1,8.2,.868,0.8,2.9,3.7,8.2,1.1,0.2,4.9,3.0,26.7,98,116,,thomais02
17,Derrick Rose,29,16,7,308,9.2,21.0,.439,1.0,3.8,.250,8.3,17.2,.481,.462,5.6,6.5,.854,1.6,3.0,4.6,4.1,0.5,0.6,4.5,2.2,25.0,97,117,,rosede01
18,Iman Shumpert,27,14,6,276,3.9,10.3,.379,1.2,4.6,.269,2.7,5.7,.469,.440,2.0,2.7,.733,1.2,6.0,7.3,3.0,1.6,0.7,2.8,3.9,11.0,91,112,,shumpim01
19,Ante Žižić,21,32,2,214,11.2,15.3,.731,0.0,0.0,,11.2,15.3,.731,.731,4.8,6.6,.724,5.5,8.2,13.7,1.1,0.5,3.0,2.5,6.9,27.2,137,111,,zizican01
20,John Holland,29,24,0,174,4.8,16.6,.288,3.1,10.1,.306,1.7,6.5,.261,.381,2.5,3.7,.692,1.7,5.1,6.8,1.4,2.0,0.6,2.3,2.8,15.2,84,112,,hollajo02
21,London Perrantes,23,14,0,66,1.5,9.6,.154,0.0,2.2,.000,1.5,7.4,.200,.154,2.2,3.7,.600,0.7,2.2,3.0,3.7,1.5,0.7,0.7,4.5,5.2,68,115,,perralo01
22,Kendrick Perkins,33,1,0,15,3.3,6.5,.500,0.0,0.0,,3.3,6.5,.500,.500,3.3,6.5,.500,0.0,3.3,3.3,6.5,3.3,0.0,3.3,3.3,9.8,97,111,,perkike01
