Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,27,62,62,2326,14.1,26.4,.531,1.2,3.4,.362,12.8,23.1,.556,.554,8.8,11.4,.771,2.1,9.0,11.1,8.8,2.6,1.1,4.8,2.2,38.1,118,97,MVP-1DPOY-4ASNBA1DEF1,jamesle01
2,Chris Bosh,27,57,57,2007,10.3,21.2,.487,0.3,0.9,.286,10.0,20.2,.496,.493,6.0,7.3,.821,2.5,9.4,11.9,2.7,1.3,1.2,3.1,3.4,26.9,109,100,AS,boshch01
3,Mario Chalmers,25,64,64,1825,6.4,14.4,.448,2.9,7.5,.388,3.5,6.9,.513,.549,2.3,2.9,.792,0.5,4.5,4.9,6.4,2.8,0.3,4.1,4.8,18.1,104,101,,chalmma01
4,Dwyane Wade,30,49,49,1625,13.5,27.1,.497,0.5,1.8,.268,13.0,25.3,.513,.506,7.6,9.6,.791,2.4,5.3,7.7,7.3,2.7,2.0,4.2,3.6,35.0,112,99,MVP-10DPOY-18ASNBA3,wadedw01
5,Udonis Haslem,31,64,10,1589,5.0,11.8,.423,0.0,0.0,,5.0,11.8,.423,.423,2.7,3.4,.814,3.9,11.7,15.6,1.4,1.2,0.8,2.0,4.7,12.8,102,99,,hasleud01
6,Shane Battier,33,65,10,1499,4.0,10.3,.387,2.2,6.4,.339,1.8,3.8,.468,.493,0.8,1.3,.622,2.0,3.5,5.5,2.9,2.2,1.2,1.3,3.7,10.9,108,102,,battish01
7,Joel Anthony,29,64,51,1349,3.3,5.9,.559,0.0,0.0,,3.3,5.9,.559,.559,1.9,2.8,.690,3.9,5.9,9.8,0.4,1.4,3.3,1.8,4.9,8.5,113,100,,anthojo01
8,Norris Cole,23,65,2,1260,7.4,18.8,.393,0.9,3.2,.276,6.5,15.6,.417,.417,2.8,3.6,.776,0.9,2.9,3.8,5.6,1.8,0.1,4.4,5.2,18.4,88,104,,coleno01
9,Mike Miller,31,39,2,752,6.4,14.6,.435,3.7,8.2,.453,2.7,6.4,.413,.562,0.1,0.3,.400,1.5,7.4,9.0,2.9,1.0,0.4,2.1,4.1,16.6,108,103,,millemi01
10,James Jones,31,51,10,666,4.5,11.9,.380,3.6,9.0,.404,0.9,2.8,.306,.533,2.0,2.4,.833,0.5,3.4,3.9,1.5,1.3,0.7,0.8,3.6,14.6,117,104,,jonesja02
11,Terrel Harris,24,22,1,318,4.8,13.7,.349,1.3,6.5,.205,3.5,7.3,.477,.398,2.3,3.5,.667,3.0,5.5,8.4,4.3,1.5,0.3,4.1,5.6,13.2,87,103,,harrite01
12,Dexter Pittman,23,35,6,301,7.7,16.4,.468,0.0,0.0,,7.7,16.4,.468,.468,3.1,4.9,.643,4.7,7.7,12.4,1.6,1.4,1.4,3.0,12.8,18.5,100,100,,pittmde01
13,Ronny Turiaf,29,13,5,221,3.8,7.1,.533,0.0,0.2,.000,3.8,6.9,.552,.533,3.1,5.2,.591,4.5,9.3,13.8,1.2,1.9,3.3,1.9,7.6,10.7,114,96,,turiaro01
14,Juwan Howard,38,28,0,190,4.7,15.2,.309,0.0,0.0,,4.7,15.2,.309,.309,2.2,2.8,.800,5.0,8.0,13.0,2.8,1.1,0.3,5.5,5.0,11.6,73,102,,howarju01
15,Eddy Curry,29,14,1,83,7.6,16.5,.462,0.0,0.0,,7.6,16.5,.462,.462,3.8,5.1,.750,2.5,5.1,7.6,0.6,0.0,1.3,6.3,10.8,19.0,82,105,,curryed01
16,Mickell Gladness,25,8,0,28,1.9,5.6,.333,0.0,0.0,,1.9,5.6,.333,.333,0.0,0.0,,1.9,18.8,20.7,3.8,1.9,1.9,5.6,15.0,3.8,56,91,,gladnmi01
