Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,35,67,67,2316,13.2,26.8,.493,3.0,8.7,.348,10.2,18.0,.564,.550,5.4,7.8,.693,1.4,9.4,10.8,14.0,1.6,0.7,5.4,2.4,34.9,116,106,MVP-2ASNBA1,jamesle01
2,Anthony Davis,26,62,62,2131,12.3,24.5,.503,1.6,4.9,.330,10.7,19.6,.546,.536,9.9,11.7,.846,3.2,9.7,12.9,4.5,2.0,3.2,3.4,3.5,36.1,121,102,MVP-6DPOY-2ASNBA1DEF1,davisan02
3,Kentavious Caldwell-Pope,26,69,26,1762,6.4,13.7,.467,2.5,6.4,.385,3.9,7.2,.541,.558,2.1,2.8,.775,1.0,2.8,3.8,3.0,1.5,0.4,1.7,3.5,17.4,115,110,,caldwke01
4,Danny Green,32,68,68,1687,5.6,13.4,.416,3.4,9.2,.367,2.2,4.1,.524,.542,0.9,1.4,.688,1.4,4.9,6.3,2.6,2.4,0.9,1.8,3.8,15.4,108,107,,greenda02
5,Kyle Kuzma,24,61,9,1526,9.1,20.8,.436,2.7,8.5,.316,6.4,12.3,.518,.500,3.6,4.8,.735,1.6,6.9,8.5,2.5,0.9,0.8,2.8,3.9,24.4,103,109,,kuzmaky01
6,Dwight Howard,34,69,2,1306,7.4,10.1,.729,0.1,0.2,.600,7.2,9.9,.732,.735,4.0,7.8,.514,6.3,12.2,18.5,1.6,1.1,2.9,3.1,8.1,18.8,125,103,6MOY-9,howardw01
7,Avery Bradley,29,49,44,1186,6.8,15.4,.444,2.5,6.9,.364,4.3,8.4,.510,.526,0.8,1.0,.833,0.7,3.9,4.6,2.5,1.7,0.2,1.9,4.4,17.0,103,110,,bradlav01
8,Alex Caruso,25,64,2,1175,4.9,11.8,.412,1.6,4.9,.333,3.2,6.9,.468,.481,2.8,3.8,.734,0.7,4.3,5.0,5.0,2.8,0.7,2.1,4.0,14.1,107,106,,carusal01
9,JaVale McGee,32,68,68,1130,8.2,12.9,.637,0.1,0.3,.500,8.1,12.6,.640,.642,2.2,3.5,.646,5.3,11.2,16.4,1.6,1.5,4.0,2.3,6.7,18.8,124,101,,mcgeeja01
10,Rajon Rondo,33,48,3,984,6.6,15.8,.418,2.0,6.0,.328,4.6,9.8,.473,.480,1.3,2.0,.659,1.1,5.8,6.9,11.6,1.9,0.1,4.4,2.8,16.5,103,108,,rondora01
11,Quinn Cook,26,44,1,508,8.5,20.0,.425,2.9,8.0,.365,5.6,12.1,.465,.498,1.0,1.3,.786,1.0,3.7,4.8,4.6,1.1,0.2,3.1,2.5,21.0,99,111,,cookqu01
12,Troy Daniels,28,41,0,456,6.5,16.5,.392,4.2,11.7,.357,2.3,4.8,.478,.519,1.0,1.7,.625,1.3,3.5,4.8,1.5,0.8,0.3,0.9,3.1,18.1,108,112,,danietr01
13,Jared Dudley,34,45,1,364,3.1,7.8,.400,2.4,5.5,.429,0.8,2.4,.333,.550,0.3,0.3,1.000,0.8,6.0,6.8,3.7,2.0,0.4,1.0,5.4,8.9,117,108,,dudleja01
14,Markieff Morris,30,14,1,199,6.7,16.5,.406,3.1,9.3,.333,3.6,7.2,.500,.500,1.2,1.4,.833,3.8,6.9,10.8,1.9,1.2,1.4,1.4,6.9,17.7,110,107,,morrima02
15,Dion Waiters,28,7,0,165,8.9,21.0,.425,2.0,8.6,.233,6.9,12.4,.558,.473,4.0,4.6,.875,0.6,3.2,3.7,4.9,1.2,1.2,3.7,4.6,23.9,99,110,,waitedi01
16,Talen Horton-Tucker,19,6,1,81,8.2,17.6,.467,2.3,7.6,.308,5.9,10.0,.588,.533,1.2,2.3,.500,1.2,2.9,4.1,3.5,4.7,0.6,3.5,5.9,20.0,97,103,,hortota01
17,J.R. Smith,34,6,0,79,4.2,13.2,.318,0.6,6.6,.091,3.6,6.6,.545,.341,1.2,1.2,1.000,0.0,3.0,3.0,1.8,0.6,0.0,2.4,3.0,10.2,72,113,,smithjr01
18,Kostas Antetokounmpo,22,5,0,20,7.1,7.1,1.000,0.0,0.0,,7.1,7.1,1.000,1.000,2.4,4.8,.500,4.8,2.4,7.1,4.8,0.0,0.0,2.4,4.8,16.6,153,115,,antetko01
19,Devontae Cacok,23,1,0,9,15.8,31.7,.500,0.0,0.0,,15.8,31.7,.500,.500,0.0,0.0,,10.6,15.8,26.4,5.3,0.0,0.0,0.0,0.0,31.7,122,107,,cacokde01
20,Zach Norvell,22,2,0,5,0.0,9.5,.000,0.0,0.0,,0.0,9.5,.000,.000,0.0,0.0,,0.0,9.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0,111,,norveza01
