Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,36,6,6,224,12.3,26.0,.474,4.1,11.0,.375,8.2,15.1,.545,.553,3.2,5.3,.609,1.6,8.2,9.8,11.0,2.1,0.5,5.7,1.6,32.0,107,110,,jamesle01
2,Dennis Schröder,27,6,6,196,7.3,18.3,.400,2.1,6.8,.308,5.2,11.5,.455,.457,5.7,6.8,.846,0.3,4.4,4.7,4.4,1.6,0.3,2.6,3.4,22.5,105,113,,schrode01
3,Kentavious Caldwell-Pope,27,5,5,146,3.9,10.2,.379,1.4,6.7,.211,2.5,3.5,.700,.448,1.8,1.8,1.000,0.7,4.2,4.9,1.8,1.8,0.0,0.7,5.3,10.9,106,113,,caldwke01
4,Anthony Davis,27,5,5,144,8.9,22.0,.403,0.7,3.9,.182,8.2,18.1,.451,.419,12.4,14.9,.833,2.5,9.2,11.7,4.6,1.1,2.8,2.1,3.2,30.9,116,108,,davisan02
5,Kyle Kuzma,25,6,0,129,5.6,19.0,.292,1.6,9.1,.174,4.0,9.9,.400,.333,2.4,3.6,.667,1.6,7.5,9.1,2.8,0.8,0.4,2.4,3.2,15.1,78,113,,kuzmaky01
6,Alex Caruso,26,6,0,121,5.9,16.1,.368,2.1,7.2,.294,3.8,8.9,.429,.434,0.8,0.8,1.000,0.8,2.5,3.4,1.3,0.4,1.7,3.0,5.1,14.8,82,115,,carusal01
7,Wesley Matthews,34,6,1,110,4.7,15.4,.303,3.3,11.6,.280,1.4,3.7,.375,.409,2.8,2.8,1.000,2.3,2.3,4.7,0.9,0.9,0.0,0.0,6.0,15.4,108,116,,matthwe02
8,Andre Drummond,27,5,5,105,9.3,15.6,.594,0.0,0.0,,9.3,15.6,.594,.594,3.4,4.9,.700,9.3,17.5,26.8,0.0,1.9,1.5,5.4,5.8,21.9,106,104,,drumman01
9,Marc Gasol,36,5,1,87,4.7,7.6,.615,4.1,6.5,.636,0.6,1.2,.500,.885,1.8,2.4,.750,2.4,8.8,11.2,8.8,2.4,2.4,2.4,9.4,15.3,153,106,,gasolma01
10,Talen Horton-Tucker,20,4,0,48,11.7,25.6,.458,1.1,5.3,.200,10.7,20.3,.526,.479,3.2,5.3,.600,2.1,12.8,14.9,2.1,1.1,0.0,3.2,3.2,27.7,95,110,,hortota01
11,Montrezl Harrell,27,4,0,39,10.5,18.4,.571,0.0,0.0,,10.5,18.4,.571,.571,9.2,11.8,.778,6.6,6.6,13.1,0.0,2.6,0.0,2.6,3.9,30.2,125,110,,harremo01
12,Markieff Morris,31,4,1,38,2.7,12.1,.222,1.3,5.4,.250,1.3,6.7,.200,.278,5.4,8.1,.667,5.4,0.0,5.4,4.0,0.0,1.3,2.7,8.1,12.1,93,117,,morrima02
13,Ben McLemore,27,4,0,36,2.8,12.8,.222,2.8,8.5,.333,0.0,4.3,.000,.333,0.0,0.0,,1.4,8.5,10.0,1.4,1.4,0.0,1.4,7.1,8.5,74,112,,mclembe01
14,Alfonzo McKinnie,28,2,0,12,0.0,12.8,.000,0.0,8.5,.000,0.0,4.3,.000,.000,0.0,0.0,,0.0,4.3,4.3,0.0,0.0,0.0,0.0,4.3,0.0,0,117,,mckinal01
15,Jared Dudley,35,2,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,119,,dudleja01
