Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Dennis Schröder,27,61,61,1956,8.3,18.9,.437,1.8,5.3,.335,6.5,13.6,.476,.484,5.1,6.0,.848,0.7,4.5,5.2,8.7,1.7,0.3,4.1,4.0,23.4,107,109,,schrode01
2,Kyle Kuzma,25,68,32,1954,8.3,18.8,.443,3.4,9.5,.361,4.9,9.4,.525,.533,1.7,2.4,.691,2.7,7.7,10.4,3.2,0.9,1.0,2.8,3.0,21.8,105,109,,kuzmaky01
3,Kentavious Caldwell-Pope,27,67,67,1902,5.6,12.9,.431,3.1,7.5,.410,2.5,5.4,.460,.549,2.5,2.9,.866,0.7,3.9,4.6,3.2,1.6,0.7,1.7,2.9,16.7,114,109,DPOY-11,caldwke01
4,Montrezl Harrell,27,69,1,1580,11.5,18.6,.622,0.0,0.3,.000,11.5,18.3,.632,.622,5.6,7.9,.707,4.9,8.3,13.2,2.2,1.4,1.5,2.3,3.9,28.7,127,106,6MOY-6,harremo01
5,LeBron James,36,45,45,1504,13.7,26.6,.513,3.4,9.2,.365,10.3,17.4,.591,.576,5.8,8.2,.698,0.9,10.3,11.2,11.3,1.6,0.8,5.4,2.3,36.4,114,106,MVP-13ASNBA2,jamesle01
6,Talen Horton-Tucker,20,65,4,1304,8.4,18.2,.458,1.4,4.9,.282,7.0,13.4,.522,.496,3.7,4.8,.775,0.9,5.4,6.3,6.8,2.4,0.8,3.9,4.7,21.8,103,107,,hortota01
7,Alex Caruso,26,58,6,1216,5.3,12.2,.436,2.2,5.5,.401,3.1,6.7,.464,.526,2.0,3.0,.645,1.2,5.6,6.8,6.4,2.6,0.6,3.0,4.3,14.8,106,106,,carusal01
8,Markieff Morris,31,61,27,1200,6.2,15.3,.405,2.6,8.5,.311,3.6,6.9,.521,.491,1.5,2.0,.720,1.9,8.8,10.8,3.0,0.9,0.8,2.2,4.3,16.5,101,108,,morrima02
9,Anthony Davis,27,36,36,1162,12.6,25.7,.491,1.1,4.2,.260,11.5,21.5,.536,.512,6.6,9.0,.738,2.6,9.4,12.0,4.6,1.9,2.5,3.1,2.5,32.9,110,104,AS,davisan02
10,Wesley Matthews,34,58,10,1130,3.8,10.8,.353,2.8,8.5,.335,1.0,2.4,.418,.484,1.5,1.8,.854,0.9,3.1,4.0,2.3,1.6,0.7,1.1,3.4,12.0,106,110,,matthwe02
11,Marc Gasol,36,52,42,993,4.3,9.5,.454,2.4,6.0,.410,1.9,3.5,.528,.582,1.8,2.4,.720,1.9,8.7,10.5,5.3,1.3,2.8,2.6,5.6,12.8,115,105,,gasolma01
12,Andre Drummond,27,21,21,520,9.5,18.0,.531,0.0,0.0,,9.5,18.0,.531,.531,4.3,7.1,.605,6.1,13.9,20.0,2.8,2.2,1.9,4.0,7.5,23.4,107,101,,drumman01
13,Ben McLemore,27,21,1,368,7.3,18.6,.390,5.6,15.1,.368,1.7,3.6,.481,.539,2.1,2.8,.762,0.5,4.0,4.5,1.5,0.4,0.8,1.9,4.9,22.2,105,112,,mclembe01
14,Alfonzo McKinnie,28,39,0,258,9.1,17.5,.516,3.0,7.4,.410,6.0,10.2,.593,.602,1.9,3.4,.556,4.1,6.0,10.2,1.1,1.3,0.0,0.9,4.9,23.0,123,110,,mckinal01
15,Damian Jones,25,8,6,112,6.9,7.4,.941,0.0,0.0,,6.9,7.4,.941,.941,4.8,5.2,.917,3.5,7.8,11.3,0.4,0.4,3.0,2.2,9.6,18.7,158,106,,jonesda03
16,Devontae Cacok,24,20,1,98,8.4,14.4,.586,0.0,0.0,,8.4,14.4,.586,.586,2.5,5.5,.455,6.0,9.9,15.9,0.5,2.5,2.0,2.5,4.0,19.4,111,102,,cacokde01
17,Jared Dudley,35,12,0,81,1.2,5.4,.222,1.2,3.6,.333,0.0,1.8,.000,.333,0.0,0.0,,2.4,10.2,12.6,3.0,0.6,0.6,1.2,4.2,3.6,94,108,,dudleja01
18,Quinn Cook,27,16,0,62,9.4,20.4,.462,3.9,10.2,.385,5.5,10.2,.538,.558,3.1,3.9,.800,0.0,3.9,3.9,3.9,0.8,0.8,2.4,1.6,25.9,111,111,,cookqu01
19,Kostas Antetokounmpo,23,15,0,56,2.6,8.7,.300,0.0,0.0,,2.6,8.7,.300,.300,5.2,11.3,.462,3.5,13.0,16.5,0.9,1.7,3.5,9.6,6.9,10.4,56,100,,antetko01
