Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Delonte West,25,14,14,591,6.9,14.8,.465,1.1,3.4,.333,5.8,11.4,.504,.503,3.3,4.0,.833,0.6,4.1,4.6,5.5,1.8,0.7,3.2,2.6,18.2,106,105,,westde01
2,LeBron James,24,14,14,580,15.3,30.0,.510,2.6,7.8,.333,12.7,22.2,.571,.553,14.3,19.1,.749,1.8,10.5,12.3,9.8,2.2,1.2,3.7,2.9,47.5,128,100,,jamesle01
3,Mo Williams,26,14,14,541,8.2,20.2,.408,3.6,9.7,.372,4.6,10.5,.441,.497,3.4,4.4,.767,0.9,3.7,4.6,6.0,1.0,0.1,3.1,4.4,23.5,107,107,,willima01
4,Anderson Varejão,26,14,14,420,5.4,10.9,.500,0.0,0.0,,5.4,10.9,.500,.500,2.0,2.9,.682,5.4,6.5,12.0,1.1,2.4,2.1,2.0,6.5,12.9,111,100,,varejan01
5,Zydrunas Ilgauskas,33,14,14,407,8.5,18.9,.449,0.3,1.8,.154,8.2,17.1,.480,.457,2.9,4.5,.636,3.7,11.2,14.9,2.3,0.7,1.8,1.2,6.4,20.1,108,102,,ilgauzy01
6,Joe Smith,33,13,0,218,5.9,12.8,.460,0.8,1.3,.600,5.1,11.5,.444,.490,5.9,7.4,.793,2.6,9.7,12.3,0.8,1.5,1.8,1.8,6.4,18.4,116,101,,smithjo02
7,Ben Wallace,34,14,0,176,2.5,4.1,.615,0.0,0.0,,2.5,4.1,.615,.615,0.0,1.9,.000,5.7,6.3,12.0,1.3,1.3,1.3,1.0,4.1,5.1,122,104,,wallabe01
8,Daniel Gibson,22,14,0,172,4.2,13.0,.325,3.2,9.1,.357,1.0,3.9,.250,.450,3.6,3.6,1.000,0.3,1.9,2.3,1.9,0.3,1.0,2.3,5.8,15.2,102,109,,gibsoda01
9,Wally Szczerbiak,31,12,0,154,5.8,13.0,.444,0.7,4.3,.167,5.1,8.7,.583,.472,3.3,4.0,.818,2.9,7.2,10.1,2.5,0.7,0.4,3.3,6.9,15.6,101,105,,szczewa02
10,Sasha Pavlović,25,11,0,91,6.1,12.3,.500,1.2,4.9,.250,4.9,7.4,.667,.550,0.6,1.8,.333,0.6,8.6,9.2,2.5,2.5,0.0,1.8,5.5,14.1,103,101,,pavloal01
11,Darnell Jackson,23,5,0,25,2.2,11.2,.200,0.0,0.0,,2.2,11.2,.200,.200,0.0,4.5,.000,0.0,11.2,11.2,2.2,0.0,0.0,2.2,11.2,4.5,40,105,,jacksda01
12,Tarence Kinsey,24,9,0,11,5.1,15.2,.333,0.0,0.0,,5.1,15.2,.333,.333,10.1,10.1,1.000,5.1,5.1,10.1,0.0,5.1,0.0,5.1,10.1,20.3,98,98,,kinseta01
