Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,25,76,76,2966,13.6,27.1,.503,2.3,6.9,.333,11.3,20.2,.560,.545,10.5,13.7,.767,1.3,8.6,9.8,11.5,2.2,1.4,4.6,2.1,40.0,121,102,MVP-1DPOY-4ASNBA1DEF1,jamesle01
2,Mo Williams,27,69,68,2359,8.4,19.0,.442,3.5,8.3,.429,4.9,10.8,.452,.535,3.9,4.4,.894,0.6,4.0,4.6,8.2,1.6,0.5,3.9,3.8,24.3,112,107,,willima01
3,Anthony Parker,34,81,81,2289,4.7,10.9,.434,2.5,6.0,.414,2.2,4.9,.458,.547,1.7,2.2,.789,0.7,4.6,5.3,3.6,1.4,0.4,1.6,3.5,13.7,113,107,,parkean01
4,Anderson Varejão,27,76,7,2166,6.5,11.3,.572,0.0,0.1,.200,6.5,11.2,.576,.573,2.8,4.2,.663,4.6,9.4,14.0,2.1,1.7,1.6,1.6,5.4,15.8,123,102,DPOY-96MOY-3DEF2,varejan01
5,J.J. Hickson,21,81,73,1691,9.0,16.2,.554,0.0,0.0,.000,9.0,16.2,.555,.554,3.4,5.1,.681,3.4,9.0,12.4,1.2,1.1,1.2,2.9,4.1,21.4,109,104,,hicksjj01
6,Delonte West,26,60,3,1500,6.8,15.3,.445,0.9,2.7,.325,5.9,12.6,.471,.474,4.0,5.0,.810,1.0,4.9,5.9,6.9,1.9,1.0,3.2,3.0,18.5,106,105,,westde01
7,Zydrunas Ilgauskas,34,64,6,1339,7.6,17.2,.443,0.4,0.9,.478,7.2,16.3,.441,.455,2.9,4.0,.743,4.5,9.1,13.5,1.9,0.5,2.0,2.5,7.2,18.6,102,104,,ilgauzy01
8,Shaquille O'Neal,37,53,53,1240,11.1,19.6,.566,0.0,0.0,.000,11.1,19.6,.567,.566,4.7,9.6,.496,3.9,11.1,15.0,3.4,0.6,2.6,4.4,7.2,27.0,104,102,,onealsh01
9,Daniel Gibson,23,56,10,1068,6.1,13.2,.466,3.5,7.3,.477,2.7,5.9,.454,.599,1.7,2.4,.694,0.6,3.0,3.6,3.4,1.2,0.3,1.8,3.9,17.5,117,108,,gibsoda01
10,Jamario Moon,29,61,2,1052,5.7,12.3,.462,1.6,5.0,.320,4.1,7.3,.558,.526,1.8,2.2,.800,1.3,8.2,9.5,2.4,1.7,1.5,1.1,3.4,14.8,114,103,,moonja01
11,Antawn Jamison,33,25,23,811,10.6,21.8,.485,1.7,5.1,.342,8.8,16.7,.529,.525,2.7,5.4,.506,2.4,10.1,12.5,2.1,1.8,0.8,1.9,4.3,25.6,106,102,,jamisan01
12,Jawad Williams,26,54,6,742,5.7,14.6,.393,2.1,6.6,.323,3.6,8.0,.451,.466,2.3,3.2,.711,1.1,4.7,5.9,2.4,0.8,0.4,1.3,5.2,15.9,104,108,,willija04
13,Leon Powe,26,20,2,236,4.7,10.9,.429,0.0,0.0,,4.7,10.9,.429,.429,8.2,14.0,.587,4.2,9.4,13.6,0.0,1.3,0.4,2.4,8.0,17.6,104,104,,powele01
14,Danny Green,22,20,0,115,6.9,17.8,.385,2.7,10.1,.273,4.1,7.8,.529,.462,1.8,2.7,.667,3.7,4.1,7.8,2.3,2.7,1.4,2.3,4.1,18.3,100,103,,greenda02
15,Darnell Jackson,24,27,0,114,3.7,11.5,.320,0.5,1.4,.333,3.2,10.1,.318,.340,1.8,2.8,.667,3.7,5.5,9.2,1.8,0.9,1.8,6.0,8.8,9.7,68,105,,jacksda01
16,Sebastian Telfair,24,4,0,77,10.9,23.9,.457,1.4,6.1,.222,9.6,17.7,.538,.486,3.4,4.1,.833,0.0,2.7,2.7,8.2,1.4,0.0,4.1,4.1,26.6,102,108,,telfase01
17,Cedric Jackson,23,5,0,10,0.0,10.5,.000,0.0,5.3,.000,0.0,5.3,.000,.000,5.3,21.0,.250,0.0,5.3,5.3,10.5,0.0,0.0,5.3,0.0,5.3,45,110,,jacksce01
18,Coby Karl,26,3,0,5,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,21.0,21.0,0.0,0.0,0.0,42.0,0.0,0.0,0,101,,karlco01
