Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,26,79,79,3063,13.1,25.6,.510,1.6,4.8,.330,11.5,20.8,.552,.541,8.7,11.4,.759,1.4,8.8,10.2,9.6,2.1,0.9,4.9,2.8,36.4,116,102,MVP-3DPOY-9ASNBA1DEF1,jamesle01
2,Dwyane Wade,29,76,76,2823,12.9,25.9,.500,1.2,3.9,.306,11.8,22.0,.534,.523,9.2,12.2,.758,2.3,6.8,9.1,6.5,2.1,1.6,4.4,3.7,36.3,114,102,MVP-7DPOY-16ASNBA2,wadedw01
3,Chris Bosh,26,77,77,2795,9.9,20.0,.496,0.1,0.5,.240,9.8,19.5,.502,.499,7.3,8.9,.815,2.7,9.4,12.1,2.7,1.1,0.9,2.6,3.2,27.2,115,103,AS,boshch01
4,Mario Chalmers,24,70,28,1579,5.2,13.0,.399,2.8,7.7,.359,2.4,5.3,.459,.506,1.8,2.1,.871,0.4,4.5,4.9,5.9,2.5,0.2,3.0,5.3,14.9,103,104,,chalmma01
5,James Jones,30,81,8,1549,5.0,11.8,.422,4.2,9.8,.429,0.8,2.0,.390,.600,2.0,2.5,.833,0.8,4.7,5.5,1.5,1.0,0.6,0.7,4.4,16.2,128,107,,jonesja02
6,Joel Anthony,28,75,11,1463,1.9,3.6,.535,0.0,0.0,,1.9,3.6,.535,.535,1.7,2.6,.644,3.8,5.8,9.6,0.9,0.4,3.4,1.3,7.0,5.5,120,104,,anthojo01
7,Zydrunas Ilgauskas,35,72,51,1145,7.5,14.7,.508,0.0,0.0,.000,7.5,14.7,.509,.508,1.7,2.1,.783,5.0,8.3,13.2,1.2,1.1,2.7,2.4,8.5,16.6,107,102,,ilgauzy01
8,Carlos Arroyo,31,49,42,995,5.8,12.6,.458,1.5,3.4,.438,4.3,9.2,.466,.517,1.5,1.9,.800,0.7,3.6,4.2,5.3,0.7,0.1,2.3,3.2,14.5,108,109,,arroyca01
9,Eddie House,32,56,1,978,6.9,17.3,.399,3.7,9.4,.389,3.2,7.9,.411,.505,2.1,2.2,.950,0.5,4.5,5.0,3.3,1.7,0.2,1.6,3.7,19.5,109,106,,houseed01
10,Mike Miller,30,41,2,838,5.1,12.7,.401,2.7,7.4,.364,2.4,5.3,.452,.507,1.4,2.1,.676,2.4,9.2,11.6,3.2,1.3,0.1,2.6,5.5,14.4,104,104,,millemi01
11,Erick Dampier,35,51,22,815,3.4,5.8,.584,0.0,0.1,.000,3.4,5.7,.591,.584,1.6,2.9,.545,3.4,8.0,11.5,1.4,0.9,3.0,2.1,5.3,8.3,110,102,,dampier01
12,Juwan Howard,37,57,0,592,4.9,11.1,.440,0.0,0.0,,4.9,11.1,.440,.440,2.6,3.1,.829,3.2,7.7,10.9,2.1,0.9,0.4,2.2,5.4,12.4,102,105,,howarju01
13,Mike Bibby,32,22,12,582,5.0,11.4,.437,3.6,8.0,.455,1.4,3.4,.395,.595,0.9,1.5,.625,0.2,4.3,4.4,5.0,1.0,0.3,2.9,4.3,14.5,108,107,,bibbymi01
14,Udonis Haslem,30,13,0,345,6.7,13.2,.512,0.0,0.0,,6.7,13.2,.512,.512,2.4,3.1,.800,4.4,11.8,16.2,0.9,1.1,0.5,2.1,6.0,15.9,110,102,,hasleud01
15,Jamaal Magloire,32,18,0,158,4.3,7.4,.591,0.0,0.0,,4.3,7.4,.591,.591,3.0,6.0,.500,5.7,14.7,20.4,1.0,1.3,0.7,1.7,8.7,11.7,121,99,,magloja01
16,Jerry Stackhouse,36,7,1,50,3.2,12.7,.250,1.1,4.2,.250,2.1,8.4,.250,.292,5.3,7.4,.714,1.1,6.3,7.4,3.2,0.0,2.1,2.1,3.2,12.7,88,106,,stackje01
17,Dexter Pittman,22,2,0,11,4.8,14.4,.333,0.0,0.0,,4.8,14.4,.333,.333,0.0,0.0,,4.8,9.6,14.4,0.0,0.0,0.0,9.6,9.6,9.6,52,106,,pittmde01
