Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Russell Westbrook,33,78,78,2678,9.8,22.1,.444,1.4,4.7,.298,8.4,17.3,.485,.476,4.8,7.1,.667,2.0,8.4,10.4,9.8,1.3,0.4,5.3,4.2,25.8,102,114,,westbru01
2,Malik Monk,23,76,37,2139,8.8,18.5,.473,3.9,9.9,.391,4.9,8.6,.568,.578,2.1,2.6,.795,0.8,4.9,5.7,4.9,1.4,0.6,2.7,3.1,23.5,112,115,,monkma01
3,LeBron James,37,56,56,2084,14.7,28.1,.524,3.7,10.3,.359,11.0,17.8,.620,.590,5.8,7.7,.756,1.4,9.1,10.6,8.0,1.7,1.4,4.5,2.8,39.0,117,111,MVP-10ASNBA3,jamesle01
4,Carmelo Anthony,37,69,3,1793,8.5,19.3,.441,4.0,10.6,.375,4.5,8.7,.521,.544,3.5,4.3,.830,1.7,6.0,7.7,1.8,1.3,1.4,1.6,4.4,24.6,114,114,,anthoca01
5,Talen Horton-Tucker,21,60,19,1511,7.1,17.1,.416,1.6,5.8,.269,5.6,11.3,.492,.462,3.2,4.0,.800,1.2,4.9,6.1,5.0,1.9,0.9,2.6,4.7,18.9,102,114,,hortota01
6,Austin Reaves,23,61,19,1418,4.9,10.7,.459,1.8,5.6,.317,3.1,5.1,.616,.542,3.3,4.0,.839,1.5,5.0,6.5,3.7,1.0,0.7,1.4,2.9,15.0,123,116,,reaveau01
7,Avery Bradley,31,62,45,1406,5.0,11.9,.423,2.8,7.2,.390,2.3,4.8,.471,.540,0.5,0.6,.889,1.1,3.6,4.6,1.6,1.8,0.3,1.3,4.0,13.4,106,116,,bradlav01
8,Anthony Davis,28,40,40,1404,12.6,23.7,.532,0.4,2.4,.186,12.2,21.3,.571,.542,5.9,8.3,.713,3.6,9.8,13.5,4.2,1.7,3.1,2.8,3.3,31.6,115,109,,davisan02
9,Stanley Johnson,25,48,27,1094,5.1,11.0,.466,1.4,4.6,.314,3.7,6.4,.575,.532,2.3,3.2,.716,1.5,5.3,6.8,3.5,1.9,0.6,1.5,4.8,14.0,114,114,,johnsst04
10,Dwight Howard,36,60,27,971,6.6,10.8,.612,0.4,0.7,.533,6.2,10.1,.618,.630,4.7,7.2,.658,5.8,11.7,17.6,1.7,1.7,1.8,2.3,5.7,18.4,128,109,,howardw01
11,Wayne Ellington,34,43,9,810,5.8,14.0,.414,4.9,12.5,.389,0.9,1.5,.615,.586,0.5,0.7,.818,0.6,4.0,4.6,1.8,1.4,0.3,1.1,2.5,17.0,113,116,,ellinwa01
12,Kent Bazemore,32,39,14,545,4.0,12.2,.324,2.6,7.0,.363,1.4,5.2,.271,.428,1.1,1.5,.765,1.1,4.9,6.1,3.0,2.2,0.8,1.8,6.2,11.6,93,113,,bazemke01
13,Trevor Ariza,36,24,11,462,3.4,10.3,.333,2.1,7.7,.270,1.3,2.6,.520,.434,1.0,1.9,.556,1.0,7.5,8.5,2.8,1.3,0.6,1.1,2.1,10.0,97,114,,arizatr01
14,DeAndre Jordan,33,32,19,408,7.0,10.5,.674,0.0,0.0,,7.0,10.5,.674,.674,1.4,3.1,.462,6.0,14.2,20.2,1.5,1.2,3.1,2.5,5.9,15.5,123,107,,jordade01
15,D.J. Augustin,34,21,0,373,5.0,11.1,.453,3.7,8.7,.426,1.3,2.3,.556,.622,0.6,0.6,1.000,0.5,3.0,3.5,4.2,0.9,0.1,1.4,2.8,14.4,123,118,,augusdj01
16,Wenyen Gabriel,24,19,5,311,7.6,15.0,.505,0.9,3.5,.261,6.6,11.4,.581,.536,3.5,5.9,.605,5.2,7.4,12.6,1.8,0.6,1.4,2.0,8.8,19.6,115,114,,gabriwe01
17,Rajon Rondo,35,18,0,289,3.8,11.8,.324,1.3,5.0,.267,2.5,6.8,.366,.380,0.2,0.3,.500,1.7,6.5,8.1,11.1,2.0,0.8,5.6,4.1,9.1,84,113,,rondora01
18,Isaiah Thomas,32,4,1,101,5.7,18.5,.308,2.4,10.4,.227,3.3,8.1,.412,.372,3.8,5.2,.727,0.5,3.3,3.8,2.8,0.0,0.9,2.4,5.7,17.6,86,119,,thomais02
19,Mason Jones,23,4,0,51,6.6,14.1,.467,0.9,3.8,.250,5.6,10.3,.545,.500,11.3,14.1,.800,0.9,8.5,9.4,3.8,1.9,0.0,0.9,7.5,25.4,133,113,,jonesma05
20,Darren Collison,34,3,0,37,2.6,9.1,.286,0.0,3.9,.000,2.6,5.2,.500,.286,0.0,0.0,,0.0,5.2,5.2,2.6,1.3,0.0,1.3,6.5,5.2,65,116,,collida01
21,Mac McClung,23,1,0,22,4.4,10.9,.400,2.2,6.5,.333,2.2,4.4,.500,.500,2.2,2.2,1.000,0.0,6.5,6.5,2.2,2.2,2.2,4.4,10.9,13.1,84,110,,mccluma01
22,Chaundee Brown Jr.,23,2,0,21,2.3,16.0,.143,0.0,6.8,.000,2.3,9.1,.250,.143,0.0,0.0,,0.0,4.6,4.6,0.0,0.0,0.0,2.3,0.0,4.6,27,120,,brownch05
