Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Anthony Davis,30,76,76,2700,12.6,22.6,.556,0.5,1.9,.271,12.0,20.7,.582,.567,7.4,9.1,.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33.0,124,109,DPOY-4ASNBA2DEF1,davisan02
2,Austin Reaves,25,82,57,2629,8.3,17.0,.486,2.8,7.6,.367,5.5,9.4,.583,.568,4.2,4.9,.853,1.0,5.3,6.4,8.1,1.2,0.5,3.1,2.8,23.5,119,118,,reaveau01
3,LeBron James,39,71,71,2504,13.0,24.1,.540,2.8,6.9,.410,10.2,17.2,.592,.599,5.8,7.7,.750,1.2,8.7,9.8,11.2,1.7,0.7,4.7,1.5,34.6,120,114,CPOY-10ASNBA3,jamesle01
4,D'Angelo Russell,27,76,69,2484,9.4,20.7,.456,4.3,10.4,.415,5.1,10.2,.497,.560,3.0,3.7,.828,0.5,4.0,4.5,9.2,1.3,0.7,3.0,3.0,26.2,116,118,,russeda01
5,Taurean Prince,29,78,49,2108,5.7,12.9,.442,3.2,8.0,.396,2.5,4.9,.519,.566,1.1,1.5,.735,0.5,4.7,5.2,2.7,1.3,0.8,1.6,3.3,15.7,108,118,,princta02
6,Rui Hachimura,25,68,39,1826,9.5,17.6,.537,2.6,6.0,.422,6.9,11.6,.597,.609,2.6,3.5,.739,1.5,6.1,7.7,2.1,1.1,0.7,1.2,2.6,24.0,121,117,,hachiru01
7,Cam Reddish,24,48,26,984,4.4,11.3,.389,1.8,5.3,.336,2.6,6.0,.435,.468,2.0,2.6,.759,1.3,3.5,4.8,2.3,2.3,0.7,1.5,3.1,12.6,102,116,,reddica01
8,Max Christie,20,67,7,944,5.2,12.1,.427,2.1,5.9,.356,3.1,6.2,.496,.515,1.8,2.3,.783,0.8,6.4,7.2,3.0,1.0,0.9,1.8,2.9,14.3,105,117,,chrisma02
9,Jaxson Hayes,23,70,5,877,6.8,9.5,.720,0.0,0.4,.000,6.8,9.1,.754,.720,2.8,4.4,.622,3.7,7.7,11.4,1.8,1.8,1.6,2.3,6.7,16.4,128,113,,hayesja02
10,Christian Wood,28,50,1,872,6.7,14.4,.466,1.9,6.2,.307,4.8,8.2,.587,.532,3.6,5.1,.702,2.1,11.7,13.9,2.7,0.9,1.8,2.7,3.9,18.9,107,113,,woodch01
11,Spencer Dinwiddie,30,28,4,678,3.9,9.9,.397,2.5,6.3,.389,1.5,3.6,.412,.521,3.1,3.5,.880,0.3,3.0,3.3,4.8,0.9,0.9,2.0,3.6,13.4,113,119,,dinwisp01
12,Jarred Vanderbilt,24,29,6,581,4.8,9.3,.518,0.7,2.2,.296,4.2,7.1,.586,.553,2.0,2.9,.667,3.4,7.9,11.3,2.9,2.9,0.4,2.3,3.5,12.3,113,112,,vandeja01
13,Gabe Vincent,27,11,0,218,3.3,10.7,.306,0.7,6.1,.107,2.6,4.6,.571,.337,0.2,0.4,.500,0.9,1.1,2.0,4.6,2.0,0.0,1.1,4.1,7.4,86,119,,vincega01
14,Jalen Hood-Schifino,20,21,0,109,4.4,19.6,.222,0.9,6.5,.133,3.5,13.1,.267,.244,5.2,8.7,.600,0.9,4.8,5.7,3.5,1.3,0.9,3.9,5.7,14.8,66,117,,hoodsja01
15,Maxwell Lewis,21,34,0,103,1.8,9.7,.190,0.5,4.2,.111,1.4,5.5,.250,.214,0.9,1.4,.667,0.9,0.9,1.8,2.8,0.9,0.5,4.6,2.3,5.1,50,121,,lewisma05
16,Skylar Mays,26,17,0,77,6.2,13.0,.476,1.2,3.1,.400,4.9,9.9,.500,.524,0.0,0.0,,0.6,3.1,3.7,6.2,4.3,0.6,1.2,3.7,13.6,113,112,,mayssk01
17,Colin Castleton,23,16,0,59,7.3,12.9,.563,0.0,0.0,,7.3,12.9,.563,.563,4.8,4.8,1.000,4.8,4.8,9.7,2.4,1.6,0.0,2.4,8.9,19.3,126,118,,castlco01
18,D'Moi Hodge,25,7,0,41,5.8,17.4,.333,3.5,13.9,.250,2.3,3.5,.667,.433,1.2,2.3,.500,0.0,0.0,0.0,5.8,1.2,1.2,1.2,4.6,16.2,97,120,,hodgedm01
19,Dylan Windler,27,8,0,28,6.8,15.3,.444,6.8,13.6,.500,0.0,1.7,.000,.667,0.0,0.0,,0.0,5.1,5.1,10.2,0.0,0.0,0.0,3.4,20.4,151,121,,windldy01
20,Harry Giles,25,7,0,19,2.5,15.0,.167,0.0,7.5,.000,2.5,7.5,.333,.167,0.0,0.0,,0.0,10.0,10.0,0.0,2.5,0.0,0.0,0.0,5.0,37,113,,gilesha01
21,Alex Fudge,20,4,0,14,3.4,20.4,.167,0.0,6.8,.000,3.4,13.6,.250,.167,6.8,6.8,1.000,6.8,0.0,6.8,0.0,0.0,0.0,3.4,3.4,13.6,73,124,,fudgeal01
