Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,LeBron James,24,81,81,3054,14.0,28.6,.489,2.3,6.8,.344,11.6,21.8,.535,.530,10.5,13.5,.780,1.9,9.0,10.9,10.4,2.4,1.6,4.3,2.5,40.8,122,99,MVP-1DPOY-2ASNBA1DEF1,jamesle01
2,Mo Williams,26,81,81,2834,10.0,21.5,.467,3.5,8.0,.436,6.5,13.5,.486,.548,4.0,4.4,.912,0.9,4.4,5.3,6.3,1.3,0.2,3.4,4.1,27.5,115,106,AS,willima01
3,Anderson Varejão,26,81,42,2306,6.3,11.8,.536,0.0,0.0,.000,6.3,11.8,.538,.536,3.6,5.9,.616,3.9,9.7,13.6,1.9,1.8,1.5,1.9,5.6,16.3,116,100,DPOY-13,varejan01
4,Delonte West,25,64,64,2152,7.2,15.7,.457,2.3,5.7,.399,4.9,10.0,.490,.530,2.3,2.7,.833,0.8,4.3,5.1,5.7,2.4,0.3,2.3,3.1,18.9,114,104,,westde01
5,Daniel Gibson,22,75,0,1795,6.2,15.9,.391,3.3,8.5,.382,3.0,7.4,.402,.493,2.0,2.6,.767,0.9,3.7,4.7,4.0,1.3,0.5,1.8,4.9,17.7,108,106,,gibsoda01
6,Zydrunas Ilgauskas,33,65,65,1765,10.5,22.2,.472,0.5,1.2,.385,10.0,21.0,.477,.483,4.3,5.3,.799,4.8,10.2,15.0,2.0,0.9,2.6,2.8,5.6,25.7,108,101,,ilgauzy01
7,Wally Szczerbiak,31,74,5,1527,6.3,14.1,.450,2.4,6.0,.411,3.9,8.1,.478,.536,3.2,3.8,.849,1.5,6.7,8.2,2.9,1.0,0.4,1.9,4.6,18.3,116,105,,szczewa02
8,Ben Wallace,34,56,53,1314,2.8,6.4,.445,0.0,0.0,,2.8,6.4,.445,.445,1.1,2.6,.422,5.6,9.3,14.9,1.8,2.0,3.1,1.4,3.4,6.8,111,98,,wallabe01
9,Sasha Pavlović,25,66,12,1053,6.0,14.1,.422,2.5,6.0,.410,3.5,8.1,.430,.509,1.3,2.8,.463,1.6,4.9,6.5,3.7,1.1,0.8,2.5,6.3,15.7,102,105,,pavloal01
10,J.J. Hickson,20,62,0,705,7.7,14.9,.515,0.0,0.0,,7.7,14.9,.515,.515,3.5,5.1,.672,4.0,8.7,12.7,0.7,1.1,2.3,3.5,6.2,18.8,102,101,,hicksjj01
11,Darnell Jackson,23,51,2,430,4.7,10.8,.430,0.0,0.3,.000,4.7,10.6,.440,.430,3.0,4.4,.686,4.0,6.9,10.9,1.0,1.3,0.5,1.8,9.7,12.3,105,104,,jacksda01
12,Joe Smith,33,21,0,411,7.5,15.1,.496,0.1,0.4,.333,7.4,14.7,.500,.500,2.8,3.7,.750,4.7,8.4,13.2,2.1,0.9,1.8,1.3,6.6,17.9,118,102,,smithjo02
13,Tarence Kinsey,24,50,3,277,6.1,13.5,.449,1.4,3.5,.389,4.7,10.0,.471,.500,6.4,7.4,.868,2.0,5.5,7.4,2.0,2.3,0.0,4.3,6.6,19.9,105,103,,kinseta01
14,Lorenzen Wright,33,17,2,125,4.3,11.7,.370,0.0,0.0,,4.3,11.7,.370,.370,1.3,3.5,.375,3.0,7.8,10.8,1.3,1.7,2.2,3.9,7.4,10.0,73,101,,wrighlo02
15,Jawad Williams,25,10,0,20,13.5,32.5,.417,5.4,16.2,.333,8.1,16.2,.500,.500,0.0,0.0,,2.7,2.7,5.4,0.0,2.7,0.0,2.7,5.4,32.5,96,104,,willija04
16,Trey Johnson,24,4,0,14,0.0,19.3,.000,0.0,0.0,,0.0,19.3,.000,.000,15.5,15.5,1.000,0.0,3.9,3.9,0.0,0.0,0.0,3.9,15.5,15.5,62,109,,johnstr01
