Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,Awards,Player-additional
1,Dennis Schröder,29,66,50,1986,6.4,15.5,.415,1.8,5.4,.329,4.7,10.1,.461,.472,5.2,6.0,.857,0.5,3.4,3.9,7.1,1.2,0.2,2.7,3.5,19.8,112,117,,schrode01
2,LeBron James,38,55,54,1954,14.8,29.6,.500,2.9,9.1,.321,11.8,20.4,.580,.549,6.1,7.9,.768,1.6,9.5,11.1,9.1,1.2,0.8,4.3,2.1,38.6,114,113,ASNBA3,jamesle01
3,Anthony Davis,29,56,54,1904,13.5,23.9,.563,0.5,1.8,.257,13.0,22.1,.589,.573,8.7,11.0,.784,4.9,12.6,17.5,3.7,1.5,2.8,3.0,3.6,36.1,124,108,,davisan02
4,Troy Brown Jr.,23,76,45,1860,5.1,11.8,.430,2.7,7.2,.381,2.4,4.7,.505,.545,0.9,1.0,.872,1.6,6.3,7.8,2.4,1.5,0.4,1.2,3.1,13.8,113,115,,browntr01
5,Austin Reaves,24,64,22,1843,6.7,12.6,.529,2.2,5.6,.398,4.4,7.0,.631,.616,5.9,6.8,.864,0.8,4.1,5.0,5.5,0.8,0.5,2.5,2.8,21.4,129,117,6MOY-7,reaveau01
6,Russell Westbrook,34,52,3,1491,9.7,23.2,.417,2.0,6.8,.296,7.7,16.4,.467,.460,5.0,7.6,.655,1.9,8.3,10.2,12.4,1.7,0.7,5.8,3.8,26.3,101,113,6MOY-9,westbru01
7,Lonnie Walker IV,24,56,32,1297,8.6,19.3,.448,3.3,9.1,.365,5.3,10.2,.522,.534,3.3,3.9,.858,0.5,3.5,4.0,2.3,1.1,0.6,1.7,2.6,23.9,111,117,,walkelo01
8,Patrick Beverley,34,45,45,1211,3.8,9.4,.402,2.2,6.2,.348,1.6,3.2,.506,.517,1.5,2.0,.780,0.9,4.5,5.5,4.6,1.6,1.0,1.6,4.9,11.3,112,115,,beverpa01
9,Wenyen Gabriel,25,68,2,1024,7.2,12.0,.596,0.5,1.7,.278,6.7,10.4,.647,.615,2.4,3.9,.619,5.4,7.9,13.2,1.7,1.2,1.6,2.1,6.7,17.2,123,113,,gabriwe01
10,Thomas Bryant,25,41,25,876,10.7,16.3,.654,1.2,2.7,.440,9.5,13.6,.697,.691,4.3,5.8,.741,3.6,11.5,15.1,1.6,0.8,1.2,1.5,4.2,26.8,138,112,,bryanth01
11,Rui Hachimura,24,33,9,738,8.1,16.7,.485,1.3,4.6,.296,6.7,12.1,.556,.525,2.8,3.9,.721,2.2,7.8,10.0,1.5,0.5,0.9,1.1,2.1,20.4,113,115,,hachiru01
12,Jarred Vanderbilt,23,26,24,625,5.6,10.6,.529,0.8,2.5,.303,4.9,8.1,.598,.564,2.2,2.8,.784,3.7,9.4,13.1,3.2,2.3,0.5,2.2,4.3,14.2,119,111,,vandeja01
13,Malik Beasley,26,26,14,621,8.0,20.4,.392,5.0,14.3,.353,3.0,6.2,.481,.515,1.0,1.6,.619,0.6,6.0,6.6,2.4,1.6,0.1,2.3,2.4,22.1,99,115,,beaslma01
14,Kendrick Nunn,27,39,2,528,9.2,22.5,.406,3.7,11.3,.325,5.5,11.2,.488,.488,1.5,1.9,.810,0.4,4.5,4.9,3.1,1.0,0.3,2.8,3.1,23.5,96,117,,nunnke01
15,D'Angelo Russell,26,17,17,526,9.6,19.9,.484,4.1,10.0,.414,5.5,9.9,.555,.588,3.2,4.4,.735,0.6,3.9,4.5,9.3,0.9,0.7,3.5,2.1,26.7,118,117,,russeda01
16,Max Christie,19,41,3,512,4.1,9.8,.415,2.4,5.7,.419,1.7,4.1,.409,.538,1.3,1.5,.875,0.6,6.3,6.9,1.9,0.8,0.6,1.2,3.1,11.8,111,116,,chrisma02
17,Juan Toscano-Anderson,29,30,7,365,4.3,8.6,.500,0.5,2.6,.200,3.8,6.0,.630,.530,1.4,1.9,.733,1.8,6.1,7.9,3.2,1.3,0.9,2.2,6.0,10.5,107,114,,toscaju01
18,Damian Jones,27,22,1,176,5.4,10.0,.541,0.0,0.8,.000,5.4,9.2,.588,.541,4.0,5.4,.750,4.8,10.0,14.8,1.1,0.8,3.2,2.4,4.6,14.8,117,110,,jonesda03
19,Matt Ryan,25,12,0,129,5.5,18.0,.306,4.8,12.9,.371,0.7,5.1,.143,.439,1.5,1.8,.800,0.7,4.4,5.1,1.5,0.7,0.0,1.1,5.1,17.3,95,118,,ryanma01
20,Mo Bamba,24,9,1,88,5.9,14.5,.407,2.7,8.6,.313,3.2,5.9,.545,.500,3.2,5.9,.545,5.9,16.2,22.1,2.2,0.5,2.7,4.3,10.2,17.8,100,108,,bambamo01
21,Cole Swider,23,7,0,41,3.5,10.4,.333,3.5,9.2,.375,0.0,1.2,.000,.500,0.0,0.0,,1.2,6.9,8.1,4.6,0.0,0.0,0.0,3.5,10.4,124,118,,swideco01
22,Scotty Pippen Jr.,22,6,0,32,5.9,17.8,.333,1.5,4.4,.333,4.4,13.3,.333,.375,7.4,13.3,.556,3.0,3.0,5.9,3.0,3.0,1.5,3.0,4.4,20.7,93,112,,pippesc02
23,Davon Reed,27,8,0,27,5.3,7.0,.750,1.8,3.5,.500,3.5,3.5,1.000,.875,1.8,7.0,.250,1.8,5.3,7.0,7.0,3.5,0.0,0.0,5.3,14.0,155,111,,reedda01
24,Sterling Brown,27,4,0,24,0.0,7.9,.000,0.0,3.9,.000,0.0,3.9,.000,.000,0.0,0.0,,5.9,9.9,15.8,3.9,5.9,0.0,0.0,7.9,0.0,75,103,,brownst02
